,amplitude,center,delta,fractured,gamma,id_tracing,sigma,stderr_amplitude,stderr_center,stderr_gamma,stderr_sigma,x,x_tracing,y,y_tracing
0,1.2466492164236082e-05,2.7084502812321114,0.05,False,-2.89749655156562,0.0,0.41140164218822717,8.693026866794452e-07,0.021993859416160687,1.5442604266720972,0.04139681988709169,"[1.5527010886672423, 1.591412618745411, 1.7299595855030958, 1.8014835768208206, 1.895566793203276, 2.0223642868238447, 2.0569681809066553, 2.1753475653401018, 2.23059710992027, 2.2869913042846393, 2.3376582399034067, 2.3824728074302555, 2.4355970412057104, 2.4809433951746858, 2.534002056434846, 2.5814776803990345, 2.6366332394390453, 2.687948315076373, 2.696514573733066]",2.5324675324675354,"[1.726008130602706e-06, 7.872130896135646e-07, 2.337826894796362e-06, 2.2253478183200117e-06, 5.831016804600821e-06, 6.685114106669251e-06, 7.392661052237302e-06, 6.329287029787792e-06, 1.0390242928477282e-05, 1.4732561835913477e-05, 1.682277230394898e-05, 1.7363231694273796e-05, 2.354481248657444e-05, 1.7028646666213552e-05, 1.994463008823782e-05, 1.7757689247598187e-05, 1.691029205306609e-05, 1.4928319133429434e-05, 1.1480299350140018e-05]",-0.6114718614718626
1,1.4049064476959676e-05,2.41673781449715,0.05,False,1.4487913488428468,1.0,0.5202556234908531,1.0422134516150547e-06,0.11908375662429198,1.127942990033265,0.12011442350621562,"[2.1141490788383095, 2.1965449812065927, 2.2446208544130966, 2.3133731415705863, 2.3420051911266926, 2.398913652808103, 2.45347254170409, 2.479879208302416, 2.556178797365086, 2.6119967307767142, 2.6365457962679884, 2.6865749769893417, 2.750280296051592, 2.8049447826120657, 2.905907822445803, 2.936109623132058, 3.0295427039411096, 3.129116810755565, 3.2624616658426273, 3.396054140985248, 3.4160574793014633, 3.5134907808696827, 3.557792736948948, 3.6070949806831205, 3.6166612494117127]",2.0707070707070727,"[6.282016359325803e-06, 7.187771204181052e-06, 6.266814428285393e-06, 8.379317026922623e-06, 6.672349975898143e-06, 8.125353569038672e-06, 1.2086749503052117e-05, 1.0462707208612163e-05, 1.7047478885808742e-05, 8.972494763874823e-06, 1.442245079500059e-05, 1.5850336263795538e-05, 1.753857707827543e-05, 1.6507675163720457e-05, 1.5288394843184522e-05, 1.1787999913054019e-05, 6.439685528553072e-06, 4.667786701235071e-06, 4.758141206529756e-06, 3.361016088653814e-06, 3.3628705516615167e-06, 2.792670238474281e-06, 3.6412364010244617e-06, 4.491510530760165e-06, 3.7852938903919345e-06]",-1.7081529581529582
2,2.1172750862540696e-05,2.61650325897776,0.05,False,3.5647266957186257,2.0,0.4931534452985842,1.6747661503875716e-06,0.03466882146768134,1.587773740441952,0.060570644204723474,"[2.384220426080411, 2.4480923083581936, 2.4928580354549035, 2.6121670083338318, 2.6406040581750867, 2.7158824208322794, 2.761031121532798, 2.8143754189303953, 2.870109905844533, 2.9163497464676613, 2.9547319722881986, 3.0198780946823347, 3.060991194847467, 3.1192476903405995, 3.1634980690029058, 3.268072615452197, 3.3003418841417953, 3.3441807303831723, 3.419276672462902, 3.4403960753988216, 3.5000369225074186, 3.5462528617632616, 3.6127922018064824, 3.6459738396589985, 3.703090625300028, 3.7571209594542325, 3.788256261626263]",0.5699855699855725,"[4.817721435256505e-06, 8.130913256919182e-06, 6.301629957178816e-06, 1.3291142708685103e-05, 1.694229258040275e-05, 2.2973204134515273e-05, 3.033046255390106e-05, 2.84787073428655e-05, 3.808296368558916e-05, 3.7505963970702294e-05, 3.0955292586287024e-05, 2.153173640773783e-05, 1.5710824742697154e-05, 1.3272267974883985e-05, 1.1935794186681986e-05, 7.2980504507045596e-06, 1.1105272734766244e-05, 9.250224430553155e-06, 9.118105728459697e-06, 9.981468053161052e-06, 6.1715224760204515e-06, 8.207296927928203e-06, 9.250896677041794e-06, 1.1427738960530688e-05, 1.0776310425268886e-05, 8.38535155581379e-06, 7.809649373643183e-06]",-2.747113997113999
3,2.7597769187638696e-05,2.4598192726056887,0.05,False,9.366086849964253,3.0,1.1395679074683853,1.985698852636649e-06,0.026091992133283913,4.056319063260474,0.12393348636164014,"[2.3981618426268545, 2.4219235793559752, 2.4982615211047583, 2.5337260844324327, 2.6082217323058012, 2.6580431332371104, 2.6988858451941677, 2.7309492383623213, 2.78273050675813, 2.846363108357374, 2.890592162066611, 2.9557011194843628, 3.0610240850672845, 3.101626776130123, 3.1375212310133493, 3.208623779724416, 3.2589342040317266, 3.3013554800328544, 3.361498171047791, 3.40674787292896, 3.4540811824598165, 3.509532786051142, 3.5497847023538407, 3.5698053114279986, 3.661153476817656, 3.6880800606540634, 3.7596192288558488, 3.783586894666512, 3.8510215984880514, 3.90065138847707]",-1.4502164502164483,"[6.521967326316875e-06, 6.687747592436729e-06, 1.4218059879837246e-05, 1.1386923453816459e-05, 1.37603446139395e-05, 2.0604832907409185e-05, 2.3793267498337145e-05, 1.7718201112046076e-05, 2.0739217227781816e-05, 2.0585621196701443e-05, 1.9554792194346024e-05, 1.8987455295348816e-05, 1.1103954316465527e-05, 8.03382511817494e-06, 1.493773742846879e-05, 1.2097312884615518e-05, 1.569890807085015e-05, 1.542881708210559e-05, 1.675629242617586e-05, 1.6133525569623097e-05, 1.485787812879987e-05, 1.2993949973636026e-05, 1.141964983964337e-05, 1.1415872678714396e-05, 1.1282079451259927e-05, 1.0331157736408038e-05, 9.547521550358147e-06, 9.78220512028618e-06, 1.0013738605470598e-05, 1.0100903322115962e-05]",-2.343073593073594
4,2.1339161580231552e-05,3.02334325740225,0.05,False,-1.5970619722313364,4.0,0.37822553617029575,1.6434743749711267e-06,0.09781754908407413,1.6676729413978046,0.13492701007051638,"[2.4812096467005915, 2.5377261164519673, 2.58407595598869, 2.6301517489398805, 2.6789958642328418, 2.73042310563795, 2.786983911799995, 2.829946571797919, 2.857213701232984, 2.936596839756924, 2.9793855914776852, 3.0248779938537043, 3.07614125201513, 3.1196924678638287]",-2.4891774891774894,"[1.3846245271967822e-05, 1.8228511345432433e-05, 2.4361307921612043e-05, 2.845506534691428e-05, 2.8368033031167005e-05, 2.7026313802945056e-05, 3.088179530034335e-05, 2.9260669359367488e-05, 2.992185378751745e-05, 3.115871738226311e-05, 2.3753015326554e-05, 2.824251882374537e-05, 1.4295722676465007e-05, 1.4451684902039672e-05]",-1.2463924963924988
5,3.098919921534919e-05,3.228969869994485,0.05,False,-3.8990945481298307,5.0,0.7373891459264148,2.4660263070275324e-06,0.03722490247726029,2.1901737535998516,0.10976773566239119,"[2.2332700743788574, 2.2411678477623, 2.3198255631160327, 2.3800668983265334, 2.426744561079457, 2.462249453171501, 2.53412929238194, 2.5773291652884014, 2.6229932105274574, 2.6808604420476603, 2.731759377209964, 2.7831812003663723, 2.8234558438010144, 2.8849781789181277, 2.9332884854946024, 2.981439350891279, 3.0256355240592736, 3.0823251313090143, 3.126841354078092, 3.1799878766143874, 3.203202817251319, 3.2690598475105164]",-2.777777777777775,"[1.1413987471045312e-05, 8.661215134661095e-06, 1.1832485480188529e-05, 2.3546209166361987e-05, 2.6502694362745532e-05, 1.2647563259200948e-05, 3.0032814231765687e-05, 2.2239244045599516e-05, 2.130358086733809e-05, 2.6908749969202664e-05, 2.6008922614505698e-05, 2.6240271628780344e-05, 2.8485979699760552e-05, 2.4286327307935676e-05, 3.2022566704691975e-05, 2.7301039235472244e-05, 2.6529143601617793e-05, 2.7823163130549533e-05, 2.3413232765497094e-05, 2.2663268541702638e-05, 1.7024890320575143e-05, 1.2975590182119467e-05]",0.08116883116883145
6,3.1493464994136753e-05,2.4077758651913768,0.05,False,4.979273789075722,6.0,0.5965325930366205,1.2458514358808343e-06,0.016669817657374936,1.2741811158571552,0.03437687352653389,"[2.2727974954225307, 2.408918116321751, 2.4587158725104015, 2.5209481253813495, 2.5721771644793923, 2.6201634109071676, 2.6654362324470764, 2.7226857598860925, 2.7494010417685857, 2.81808716585191, 2.8622531655778127, 2.9163812261039745, 2.967862530677072, 3.017216679809691, 3.064135233873031, 3.095262068317279, 3.1681471293290815, 3.2216255339966717, 3.2721591203744445, 3.3219286279352436, 3.366497457496683, 3.411819205104201, 3.469419266398284, 3.5031016665478183]",-2.66233766233766,"[3.652160726031116e-06, 2.4854840424483918e-05, 2.4338487929795566e-05, 3.578542920600608e-05, 3.689029836485176e-05, 3.629811624202172e-05, 3.9006803468659056e-05, 3.765331497094645e-05, 3.111561425915148e-05, 3.621739705308414e-05, 2.9037273212167432e-05, 3.2384367155076545e-05, 3.2454068311362614e-05, 1.9119940855720662e-05, 2.0187721380520343e-05, 2.5055894607967797e-05, 1.4552509245629266e-05, 2.2619489283810782e-05, 1.617583570269339e-05, 1.3200245333150075e-05, 1.3041873044886421e-05, 8.258212503581038e-06, 6.511916064167637e-06, 5.584052240121549e-06]",1.0046897546897533
7,3.9943980240644826e-05,2.83976971033833,0.05,False,23.62573722517786,7.0,1.3979898271565134,4.130055367828894e-06,0.02341040765203281,17.498136819206152,0.19890946242791813,"[2.7993319593067545, 2.8444925278409388, 2.877665700272855, 2.9408979537000204, 2.98099469360863, 3.048070842064865, 3.092652426401023, 3.1484548181451295, 3.1964602011995544, 3.249793720263039, 3.2971305306410374, 3.346796890042197, 3.3987711839171517, 3.448122057982043, 3.500037486968084, 3.5408143579246287, 3.590351009437959, 3.6444361837838244, 3.6990445253022433, 3.747699185096919, 3.7956349784682972, 3.847683676750445, 3.897259441213576, 3.949507812043474, 3.9915382039022314, 4.034145177535014, 4.094770923574989, 4.137237278079436, 4.188851394575003, 4.224136135079947, 4.297168917362475, 4.320165188207562, 4.374862905618473, 4.442211681245251, 4.494808136489412, 4.510384966260725]",-2.3737373737373737,"[1.0632477201212887e-05, 1.054744595592633e-05, 9.199714471424807e-06, 3.744873717365554e-05, 2.7473523502527697e-05, 1.0582554090464901e-05, 1.851418489303979e-05, 1.1255557758056205e-05, 2.3884745864725726e-05, 1.8700177505431822e-05, 2.6397109463849292e-05, 2.68350148654175e-05, 1.890828759083083e-05, 2.2350026709192656e-05, 2.387663284268553e-05, 1.6295846478617322e-05, 2.548936450165454e-05, 2.312251435274394e-05, 1.9644254826326612e-05, 1.833488836707311e-05, 1.3646012540599352e-05, 1.765373075723805e-05, 1.6324676595400205e-05, 1.0703720403040989e-05, 1.4787828738350462e-05, 1.5997476821603038e-05, 1.833835317123501e-05, 1.8625872389623647e-05, 1.552977025552097e-05, 1.7242591954813968e-05, 1.3900963559575586e-05, 1.4256001843268262e-05, 1.1458436763723215e-05, 9.073747509455077e-06, 1.1235365887443824e-05, 7.498202088269043e-06]",2.274531024531022
8,3.54995584930653e-05,2.92782164864286,0.05,False,2.537328744385079,8.0,1.100389507710283,2.3611739146494722e-06,0.08935837085245397,1.4712188861158002,0.16741928420595392,"[2.7734854037846266, 2.789230905594245, 2.8826765606944043, 2.9047351193002062, 2.974238749661844, 3.014700005484817, 3.0626648750566616, 3.1742439001383715, 3.253346604702235, 3.3038053365290634, 3.3813616878239556, 3.432112666367834, 3.4794643902646762, 3.532021805726204, 3.5795587635820665, 3.6326120986091217, 3.683148922501414, 3.7298518896559534, 3.750990556583493, 3.826269167138363, 3.878576259022935, 3.930687424003057, 3.983166927505778, 4.031547635214435, 4.080346394792662, 4.130224778472067, 4.170069898005091, 4.22287689993085, 4.280685908727865, 4.3277684775850105, 4.382823426797399, 4.429522486640472, 4.475580881217036, 4.529474520818338, 4.569277206361304, 4.600510766137137, 4.636066871666083, 4.7182781803265845, 4.814912190711635, 4.861685663422686]",-1.3924963924963905,"[1.1348032264475805e-05, 9.882109169809467e-06, 1.576120311481702e-05, 1.6884906488377508e-05, 1.4394193365681275e-05, 1.237406379244443e-05, 7.676965210826994e-06, 8.849977566943401e-06, 1.1023915662413911e-05, 2.355148533267975e-05, 2.5003805711723032e-05, 2.6410715023455557e-05, 2.5827195135057345e-05, 2.496896831296892e-05, 2.344691740007626e-05, 2.337913775812949e-05, 1.9873252595596543e-05, 1.838079257705566e-05, 1.7306879625928533e-05, 1.4358856332078088e-05, 1.1939637323228596e-05, 1.4756413983305956e-05, 1.4421350953070226e-05, 1.0564339196836811e-05, 1.450052826675307e-05, 1.1747452808931348e-05, 1.0677326841867103e-05, 1.649933136795805e-05, 9.650047996413846e-06, 1.291703836033526e-05, 1.472318723203006e-05, 1.219382506968795e-05, 9.354886161189998e-06, 1.0756897565662248e-05, 1.0637754745957123e-05, 7.010856232661616e-06, 9.200756006077434e-06, 6.893050247320576e-06, 5.752006548623201e-06, 4.891577311042185e-06]",3.1403318903318898
9,3.0075663074343163e-05,4.839714458317087,0.05,False,-1.0439282270385206,9.0,0.6578781884876499,1.5806522623519862e-06,0.21471287000618205,0.9475026512848542,0.1699975180237822,"[3.1844933902909514, 3.3330812096960645, 3.3781423117226153, 3.43070497471394, 3.4650962073107374, 3.5420766443509955, 3.768843051416719, 3.8334271605401797, 3.8844572009871428, 3.9282704351137316, 3.9820965264490984, 4.027570407981488, 4.0646059807208985, 4.125838373179423, 4.18429762643548, 4.209241696160359, 4.281462665683897, 4.324015273951316, 4.3780851841862765, 4.43398501363495, 4.475661433390316, 4.520274572240687, 4.573539605461096, 4.630723459607275, 4.677716436587107, 4.7332844765044655, 4.781712863789354, 4.832923836530111, 4.8718633861753435, 4.917621100391263, 4.97459181437295, 5.033805986683459, 5.083556223669969, 5.13401464336263, 5.182748110908391, 5.22701400914736, 5.275392228355762, 5.315024150533457, 5.371677245987651, 5.418595881984887, 5.475988702048304, 5.532256171534212, 5.537244946951307, 5.6325546303144245]",0.16594516594516762,"[2.97988664488054e-06, 7.17232377148717e-06, 5.138082185452002e-06, 8.15555830947165e-06, 3.423675413122433e-06, 3.131232212370036e-06, 4.93726256980852e-06, 8.087851796329577e-06, 1.5322681189014877e-05, 1.6763213879099932e-05, 8.038401746530559e-06, 1.4803938094661754e-05, 1.4979691753773392e-05, 1.2443013974148544e-05, 2.0596774883550816e-05, 2.0243011347451376e-05, 1.9034876859775742e-05, 2.303389093356469e-05, 2.4511096201309224e-05, 2.5177597385792112e-05, 2.287124499575541e-05, 2.4849897933629997e-05, 2.4227036852804774e-05, 2.342130089395435e-05, 2.4157258316108283e-05, 2.364325538103015e-05, 1.7324447766488132e-05, 1.1600666337397463e-05, 1.292797819409118e-05, 9.576380520564839e-06, 1.2310884179641789e-05, 8.28805708940946e-06, 1.908701550277823e-05, 1.2252961205874584e-05, 1.7530860976258315e-05, 8.89012780545825e-06, 9.413337621711975e-06, 2.2820888149493943e-06, 8.736223178648824e-06, 1.714191017359022e-06, 2.9453455135824154e-06, 2.7099829019833223e-06, 3.392280886425158e-06, 2.9650265314653262e-06]",3.83297258297258
