x,y,z,vx,vy,vz,mass,potential,escape_velocity,velocity_magnitude
0.15169299999999997,0.207789,-0.08549200000000003,-107.758858,56.511463,7.982498000000024,,,571.6149545367056,121.93948172017355
-0.014766,0.312516,-0.0008729999999999967,-100.41419199999999,31.499628,47.60746400000002,,,570.490085365206,115.5063078262938
0.047493000000000035,-0.295816,0.156168,35.89014400000001,-108.150131,42.96252799999999,,,570.4528354737138,121.77985089417987
-0.2500359999999999,-0.168634,0.24459700000000006,-54.66160199999999,-77.172897,69.59671000000002,,,567.1824552117246,117.4191160220648
-0.32985899999999996,0.04328,0.25100800000000006,-91.13885499999999,4.857471,77.80635100000002,,,566.9001510407278,119.93212318291572
0.09047,0.328523,0.01625799999999998,-93.38870199999998,69.224464,38.789776000000025,,,567.7473304648821,122.54845082440771
-0.225546,-0.264424,-0.00675099999999995,-59.235516,-109.656296,-0.8027879999999868,,,567.6392175052742,124.63544470494264
-0.26414799999999994,0.252307,0.21288300000000004,-92.02070599999999,-9.100204,84.62599200000001,,,567.0087907166873,125.34824517145869
-0.376056,0.040931,0.09398600000000008,-112.45370499999999,-44.464882,56.66995600000003,,,568.5945666729502,133.54566789133554
-0.168355,0.363898,0.02153700000000004,-103.797981,59.966724,18.17179900000002,,,566.3845866546865,121.2445591598441
-0.197032,0.356984,-0.05305699999999996,-103.510529,62.490334,19.68481800000002,,,566.4292210859182,122.50291227960469
-0.327596,0.239759,0.06808200000000007,-122.94020799999998,16.111259,69.70631400000003,,,568.5030782678314,142.24217947259856
-0.23410699999999995,0.287003,0.21552900000000005,-98.81713099999999,0.522881,88.92985500000003,,,565.5675523312843,132.94215995662304
0.3795609999999999,-0.13461,-0.2358250000000001,10.661938999999997,114.303375,-15.888296000000002,,,562.1280158913981,115.89381531994692
0.3920719999999999,-0.036868,-0.2450410000000001,-11.645264000000001,116.749939,-5.374412999999997,,,562.8355388121827,117.45230838611893
-0.08952900000000004,-0.302199,-0.21023999999999998,-4.7989230000000145,-109.953888,-62.29781,,,563.9330911109934,126.46700865867182
-0.23723199999999994,-0.134966,0.29829900000000004,-38.92850899999998,-80.593964,104.38124100000002,,,566.7722481297051,137.50003388689206
-0.289656,0.278538,0.09356800000000007,-127.35186799999998,18.47995,71.24061600000003,,,568.1282590665597,147.0891981185273
0.11298999999999991,-0.012729,-0.388665,17.99694799999997,-11.602562,-126.2798,,,563.3266980625009,128.08238548027808
-0.28456099999999995,-0.36706,0.20176500000000006,92.79525799999999,-59.950668,-36.54287000000002,,,560.8315533651794,116.36332690658895
-0.32244599999999995,0.111028,0.22996300000000008,-117.32682799999999,-15.996124,80.76065100000002,,,566.8219517626325,143.33088746501488
