# x y z vx vy vz lxvel lyvel lzvel Potential U rho
0.122334 -0.302991 -0.155332 30.289339 24.292088 -23.955307 -22.410610 34.903645 -31.408369 -160849.281250 1194.376465 0.019084
0.018938 -0.303032 0.101745 74.020340 -44.243080 -27.560131 -26.015434 -33.631523 -75.139366 -163283.359375 614.654358 0.005033
0.174850 -0.284448 -0.130033 26.686401 34.369038 -27.263645 -25.718948 44.980595 -27.805431 -161070.125000 1246.342041 0.020997
0.034416 -0.326174 0.003961 50.057350 -40.409515 -40.928730 -39.384033 -29.797958 -51.176380 -162427.531250 1039.170044 0.014079
0.085295 0.233053 -0.069299 -85.634972 8.407455 28.404865 29.949562 19.019012 84.515945 -163805.203125 1263.407104 0.021652
-0.204829 -0.235445 0.035969 -1.105060 -95.282501 -18.771992 -17.227295 -84.670944 -0.013970 -163932.359375 813.204163 0.003852
0.320520 -0.022382 -0.164652 -29.523079 50.394234 -44.373447 -42.828751 61.005791 28.404049 -161765.937500 729.065857 0.006889
0.064329 -0.305050 -0.148482 18.468506 -18.826447 -53.119854 -51.575157 -8.214890 -19.587536 -161102.234375 907.746338 0.010608
0.155372 0.075369 -0.250892 -39.842899 59.103970 -16.624538 -15.079842 69.715523 38.723869 -162250.390625 1153.594238 0.017668
0.100205 -0.336413 -0.098398 36.792419 23.898865 -37.937904 -36.393208 34.510422 -37.911449 -161187.718750 1142.919312 0.017310
0.004381 -0.287215 -0.113506 28.780037 -73.422409 -41.998734 -40.454037 -62.810852 -29.899067 -163299.531250 969.485291 0.003385
-0.014383 -0.320422 -0.068857 48.784683 18.486942 -29.724113 -28.179417 29.098499 -49.903713 -161337.421875 1188.291992 0.018868
0.028857 0.215789 -0.181944 -71.670837 -1.040604 28.802872 30.347569 9.570953 70.551811 -162957.640625 1681.608643 0.042457
-0.068147 0.217712 -0.107670 -76.297760 32.143120 25.948563 27.493259 42.754677 75.178734 -163573.187500 1565.243164 0.035681
0.124141 0.081678 -0.245229 -3.600408 45.476318 -70.135284 -68.590591 56.087875 2.481378 -162782.359375 1049.217285 0.014373
-0.351589 -0.013977 0.182904 -47.002033 -17.830582 38.894146 40.438843 -7.219025 45.883003 -160988.500000 763.845337 0.007529
0.100770 0.203919 -0.158293 -75.185623 7.530731 31.581844 33.126541 18.142288 74.066597 -163567.250000 2058.541748 0.070750
0.060513 0.131185 -0.243443 -31.994293 41.501793 -63.442940 -61.898247 52.113350 30.875263 -162540.187500 988.814453 0.012670
0.166396 0.169866 -0.193755 -70.006554 39.222191 13.828182 15.372879 49.833748 68.887527 -163026.796875 1597.003906 0.037448
0.006070 0.214642 -0.105356 -77.573868 -19.183975 41.139233 42.683929 -8.572418 76.454842 -164195.562500 2074.053223 0.072149
0.060092 0.214747 -0.141058 -75.364052 -6.890099 38.203892 39.748589 3.721458 74.245026 -163714.031250 2087.677246 0.073395
-0.173277 -0.296622 0.120576 53.718891 -34.882202 -33.771385 -32.226688 -24.270645 -54.837921 -161510.421875 829.309326 0.008842
0.231942 -0.205445 0.005227 29.030428 -65.376419 -55.168503 -53.623802 -54.764862 -30.149458 -162905.031250 826.450500 0.008781
0.130785 0.191243 -0.186067 -72.979584 24.718664 22.155636 23.700333 35.330223 71.860558 -163144.515625 1927.793213 0.059738
0.258382 -0.277687 0.100198 41.543747 1.486046 -22.039455 -20.494759 12.097603 -42.662777 -159728.859375 655.713135 0.005656
0.030354 0.224078 -0.133898 -73.933151 -14.115067 43.499256 45.043953 -3.503510 72.814125 -163691.890625 2029.788574 0.068209
0.313431 0.219687 -0.049648 -31.365776 60.917908 8.743057 10.287754 71.529465 30.246746 -160869.406250 663.429993 0.003014
0.331360 -0.159872 0.075152 33.897934 26.201969 -5.304640 -3.759943 36.813526 -35.016964 -159450.718750 749.493347 0.007260
0.039528 0.242682 -0.072519 -76.153358 -22.486557 45.285297 46.829994 -11.875000 75.034332 -164009.140625 1988.300049 0.064663
-0.176493 -0.312476 -0.003922 45.776440 -11.080856 -18.844212 -17.299515 -0.469299 -46.895470 -160285.125000 1149.873169 0.017543
0.102389 -0.329017 0.165165 51.790424 -8.337822 -15.132797 -13.588100 2.273735 -52.909454 -159962.718750 613.731934 0.005019
0.209990 0.141128 -0.204805 -65.838799 52.510426 3.941734 5.486431 63.121983 64.719772 -162558.312500 1178.057495 0.018508
0.319350 0.257063 0.021799 -29.708149 51.842037 21.519699 23.064396 62.453594 28.589119 -160161.109375 475.453094 0.003238
0.245702 -0.120219 -0.299454 14.405460 39.814770 -15.190880 -13.646183 50.426327 -15.524490 -159487.656250 720.069702 0.006729
-0.031614 -0.374190 -0.109088 38.981865 14.028038 -13.046936 -11.502239 24.639595 -40.100895 -159684.625000 974.178223 0.012280
-0.033026 0.270850 -0.028762 -87.151955 3.283829 45.922291 47.466988 13.895386 86.032928 -163763.156250 1170.170166 0.018235
0.189570 0.017752 -0.307731 -10.210047 46.116131 -45.639790 -44.095093 56.727688 9.091017 -160534.953125 703.485840 0.006441
0.285661 -0.202464 -0.137279 4.352398 61.601273 -34.111374 -32.566677 72.212830 -5.471428 -161295.468750 1129.391968 0.016863
0.083746 0.197114 -0.215583 -69.965836 21.796734 25.518108 27.062805 32.408291 68.846809 -162472.265625 1806.053345 0.050664
-0.185233 -0.312026 -0.088882 -11.555704 -42.328178 -8.919640 -7.374943 -31.716621 10.436674 -159340.140625 743.955322 0.007158
0.089663 0.174311 -0.279475 -38.688675 48.296509 7.562134 9.106831 58.908066 37.569645 -160874.531250 1411.752563 0.027949
-0.022011 -0.292446 0.005852 52.363178 -82.493393 -56.380505 -54.835808 -71.881836 -53.482208 -164810.031250 849.767273 0.004427
0.075209 0.239545 -0.116625 -75.525169 -19.249077 41.294170 42.838867 -8.637520 74.406143 -163555.250000 2127.184814 0.077101
-0.385292 -0.219980 0.019278 18.490803 -11.471390 5.865192 7.409889 -0.859833 -19.609833 -158299.859375 472.451538 0.003204
0.025080 0.238477 -0.113218 -73.763832 -23.147598 45.379757 46.924454 -12.536041 72.644806 -163628.265625 2089.277344 0.073543
-0.273596 -0.296161 -0.046899 -0.201545 -7.480366 -7.102922 -5.558226 3.131191 -0.917485 -158060.265625 490.761475 0.003413
0.143958 -0.292785 -0.190373 35.355148 30.486311 -20.206944 -18.662247 41.097870 -36.474178 -159913.296875 1111.785522 0.016293
0.293038 -0.060361 -0.197634 -25.735613 70.567390 -28.708412 -27.163715 81.178947 24.616583 -161620.171875 930.820312 0.011170
0.078647 0.257566 -0.150500 -71.218277 -7.458138 41.558521 43.103218 3.153419 70.099251 -162794.062500 1971.931763 0.063302
0.074086 0.272899 -0.132998 -69.466278 -20.656662 39.949635 41.494331 -10.045105 68.347252 -162867.703125 2112.654297 0.075722
0.154189 0.186926 -0.211829 -62.210381 36.664959 27.801422 29.346119 47.276516 61.091351 -162216.796875 1832.862183 0.052570
-0.349310 0.050707 0.135753 -79.571480 -27.169670 55.215199 56.759895 -16.558113 78.452454 -163055.734375 637.752136 0.003690
0.064856 0.273448 -0.045073 -83.777771 -12.643051 38.695736 40.240433 -2.031494 82.658745 -163113.500000 1452.650024 0.029882
0.051678 0.266121 -0.144399 -70.428566 -13.455475 46.883518 48.428215 -2.843918 69.309540 -162906.203125 1959.392944 0.062274
0.030803 0.215756 -0.293065 -49.117191 29.323662 8.478161 10.022858 39.935219 47.998161 -160262.890625 1301.614746 0.023170
-0.232656 -0.234586 0.283083 30.829678 -35.176620 10.350510 11.895206 -24.565063 -31.948708 -158983.734375 539.077759 0.004001
-0.005356 0.246611 -0.085039 -77.740814 -28.341812 47.441036 48.985733 -17.730255 76.621788 -163798.984375 1985.509155 0.064429
0.150347 -0.271825 -0.268689 23.961031 13.604706 -10.530800 -8.986103 24.216263 -25.080061 -158379.265625 685.140869 0.006132
0.116511 0.243742 -0.140774 -80.356743 -3.583115 34.447315 35.992012 7.028442 79.237717 -162965.562500 1920.352417 0.059152
-0.332170 -0.218120 0.102335 41.211510 -40.552101 2.243790 3.788486 -29.940544 -42.330540 -159729.984375 816.403198 0.008572
0.119565 0.104989 -0.334348 -15.714002 52.933643 -11.003500 -9.458803 63.545200 14.594972 -159707.062500 945.484375 0.011537
0.020935 0.273391 -0.076950 -74.584129 -27.377609 45.460133 47.004829 -16.766052 73.465103 -163335.062500 2004.705933 0.066048
0.134758 0.226164 -0.166918 -81.245415 17.899773 31.123302 32.667999 28.511330 80.126389 -162773.546875 1695.151367 0.043301
0.057454 0.302764 -0.146657 -65.210060 -17.202103 35.934635 37.479332 -6.590546 64.091034 -162082.312500 2106.512451 0.075145
-0.031319 -0.374728 -0.110486 37.279133 15.703506 -11.456161 -9.911465 26.315063 -38.398163 -158842.750000 937.606750 0.011339
0.011093 0.300855 -0.091654 -69.518539 -29.964218 40.300335 41.845032 -19.352661 68.399513 -162625.812500 1942.448120 0.060904
-0.377051 0.160487 0.096321 -52.648724 -28.712555 44.230701 45.775398 -18.100998 51.529694 -160372.859375 587.466797 0.004645
-0.103322 -0.346104 0.143111 65.036751 -24.125664 -32.973591 -31.428896 -13.514107 -66.155785 -160615.468750 658.374939 0.005698
0.045913 -0.357453 0.022073 64.079994 12.380154 -36.348953 -34.804253 22.991711 -65.199028 -161082.359375 1272.381836 0.022003
0.033869 -0.361281 -0.187589 21.683052 -5.161427 -14.645382 -13.100685 5.450130 -22.802082 -158403.656250 1026.333862 0.013711
-0.027004 0.339158 -0.064450 -67.242264 -30.570587 37.096020 38.640717 -19.959030 66.123238 -162085.828125 1688.384399 0.042878
0.023900 0.302549 -0.125845 -69.088554 -24.150131 40.214771 41.759468 -13.538574 67.969528 -162480.859375 2060.760742 0.070949
0.012757 0.300665 -0.051946 -77.493706 -27.656914 38.440166 39.984863 -17.045357 76.374680 -162863.156250 1791.419922 0.049644
-0.025782 0.251717 -0.115389 -80.125580 -22.462921 46.323582 47.868279 -11.851364 79.006554 -163354.203125 1927.403564 0.059707
0.410212 -0.130293 -0.039441 2.882802 50.093044 -27.941700 -26.397003 60.704601 -4.001832 -159196.781250 696.997803 0.006330
0.094674 0.302585 -0.133410 -68.752342 -14.913925 40.320057 41.864754 -4.302368 67.633316 -162070.078125 1929.178833 0.059847
-0.034320 0.385394 -0.029684 -62.641769 -24.225433 20.381863 21.926559 -13.613876 61.522739 -160761.250000 1454.180786 0.029956
0.114456 0.267507 -0.176191 -69.010063 9.371754 42.990528 44.535225 19.983311 67.891037 -162193.546875 2039.758545 0.069082
-0.029626 0.377103 -0.079544 -56.843678 -31.635445 27.771374 29.316071 -21.023888 55.724648 -160978.859375 1676.931152 0.042169
-0.009794 0.249203 -0.148765 -79.806000 -15.844688 45.002438 46.547134 -5.233131 78.686974 -162938.078125 1829.324219 0.052315
0.045441 0.238575 -0.216941 -80.837090 9.253647 27.888924 29.433620 19.865204 79.718063 -161905.937500 1493.619873 0.031910
0.007936 0.339454 -0.130431 -63.784828 -26.407616 34.105358 35.650055 -15.796059 62.665798 -161709.984375 1990.549683 0.064851
0.203570 0.155604 -0.240721 -57.956512 52.838837 12.886063 14.430759 63.450394 56.837482 -161597.890625 1720.882568 0.044936
