x,y
1.115259740259738,0.8242694805194795
1.2321428571428577,0.20089285714285765
1.2711038961038952,-0.3835227272727266
0.6087662337662323,-1.084821428571427
-0.6379870129870149,-1.1237824675324681
-1.3782467532467528,-0.07183441558441572
-1.3003246753246778,0.9021915584415581
-0.8717532467532472,1.3697240259740262
-0.4431818181818201,1.5255681818181834
0.5698051948051948,1.8762175324675319
1.7775974025974008,1.9541396103896105
2.4788961038961013,1.7593344155844157
3.2191558441558428,1.25284090909091
3.7646103896103895,0.9801136363636367
4.154220779220779,0.0840097402597415
4.349025974025974,-0.7731331168831161
4.232142857142858,-1.74715909090909
4.0762987012987,-2.6043019480519476
3.686688311688311,-3.2276785714285694
3.4139610389610375,-3.967938311688311
2.6347402597402585,-4.474431818181818
1.4269480519480524,-4.903003246753245
0.6477272727272734,-5.175730519480519
-0.4431818181818201,-5.448457792207792
-2.079545454545457,-5.526379870129869
-3.0146103896103895,-5.3705357142857135
-4.066558441558442,-5.019886363636363
-4.88474025974026,-4.786120129870129
-5.702922077922079,-3.967938311688311
-6.131493506493507,-3.4614448051948052
-6.637987012987013,-2.3705357142857153
-6.715909090909092,-0.8900162337662323
-6.832792207792208,0.23985389610389518
