x,y,z,Rs,vx,vy,vz,rho_resta_final_exp
-0.5991426364069519,0.2975669828918261,-0.11872142051450875,0.6689678677395628,9.707195296677408,-65.3877032015409,28.574099903430987,4.656060513328891e-05
0.20285945758631926,0.6186188926615406,-0.36485447942295257,0.6510309469526055,-31.46973916021671,12.826472560598054,11.949538531624274,4.4256085499186294e-05
-0.4404911063867627,0.4941448546847465,-0.3209088013388797,0.6619754921575598,-52.946098908369606,36.440285792491935,-9.003480908778982,3.803622046868798e-05
-0.3189525589256788,0.6379718630481174,-0.13793529549638706,0.7132593026987623,-56.00666943431631,-73.1615904867033,32.071153275545356,5.2192127889287896e-05
-0.2365928069221405,-0.6720438594414334,-0.1942091100560573,0.7124739330671925,89.6241549381012,-13.141759398147904,18.741147010036247,4.559817589708418e-05
-0.2301649601072258,0.6484496534245454,-0.13117707036836174,0.6880863767635382,-73.472341293969,-77.57044285497662,31.99657539504,6.16752287056857e-05
-0.6344054791032987,0.39429618599178223,-0.11273669340125266,0.7469536760763361,-9.055689802778392,-95.53677137954362,26.59888939147521,3.7912190452384114e-05
-0.07645849962466003,0.6799168765103843,0.1838080652732864,0.6842023539337551,-111.85880232006228,-24.171024708149236,5.559854953923372,6.049369172018749e-05
-0.4237881147718517,-0.5348427045215063,0.065375410608581,0.6823877818379807,104.3488002983156,-67.5393541229151,-5.128703215839473,5.178394341757651e-05
-0.1812060164266417,0.7050030014277323,0.2954313469059718,0.7279181632651595,-83.83225094503011,-36.225325791750734,-3.277016415918439,5.925197633476011e-05
-0.6020131427467245,0.3717773621006841,0.14122534404514264,0.7075579347377366,-64.3331797056514,-88.38586348796116,-16.16954039405752,5.2847083051067804e-05
0.34122676636255994,0.6206990926417775,-0.1991594088624114,0.7083100095922511,-105.57718670686523,20.809739285857997,35.89096834194933,4.8378507670161657e-05
-0.5479129144676325,0.5213094003105915,0.0907555557660052,0.7562883396513552,-86.53614731416323,-65.94567379243415,-8.405008825548338,5.8375504286551986e-05
-0.2990753903102101,-0.6736327257970768,0.03523063133121163,0.737039441518569,114.21305375686748,-44.22315612920769,-12.274488992868012,5.769464342082903e-05
0.002852766449286929,-0.7478854027080534,0.0474083874203586,0.7478908435461697,119.54083592777269,9.411579377763859,-12.564013356378148,5.759754670562368e-05
