x,y,z,vx,vy,vz,lxvel,lyvel,lzvel,Potential,U,rho,Rs,Zs,rho_sph_log,deltaRho,rho_resta1,rho_resta_final,rho_resta_final_exp
-0.4360046724743109,-0.8862387803779825,0.2054046043537366,-16.89397104621481,-37.797945789593115,-5.307039151922735,14.476059,-31.161987,28.532471,-712765.25,376.415436,0.002212,0.9876837805012721,0.2054046043537366,-2.655214877367339,0.8839437050343133,-4.659116059377235,-4.659116059377235,2.192219015925816e-05
-0.5832607790884946,-0.8318922667286752,0.08833078222855857,27.566495518363077,-21.962617631070565,-15.354032765454555,12.405106,-41.494995,-18.556519,-712145.6875,421.37677,0.002656,1.0159910825720329,0.08833078222855857,-2.57577192930402,1.2386640685161057,-4.5805617414243915,-4.5805617414243915,2.6268680515316607e-05
-0.15537526506341648,-1.0493953142282575,0.062221712120850176,3.7363537085540837,-34.61118032403848,-4.447794566861979,19.973709,-36.485535,9.091797,-711885.8125,265.319611,0.001234,1.0608355190686962,0.062221712120850176,-2.908684840302777,0.016543149983440086,-4.914882420512761,-4.914882420512761,1.2165153114977133e-05
-0.4109963713968271,-0.8621989364056769,0.34200141585753824,-22.830768453694173,-45.987515531024144,-7.704586595175463,13.920609,-36.325195,37.537781,-712669.1875,386.29361,0.002307,0.9551465977746239,0.34200141585753824,-2.6369524054789064,0.9708352114366756,-4.639832171876369,-4.639832171876369,2.291753103383994e-05
-0.8096362445354054,-0.6189409796152912,0.019927785638880084,1.3385595267918131,-39.110831834537905,9.432265683964136,33.136505,-32.234221999999995,14.318604,-711821.1875,306.918976,0.001584,1.0191166688424496,0.019927785638880084,-2.8002448227465253,0.3331860855886102,-4.8051327540753555,-4.8051327540753555,1.5662722226620136e-05
-0.9084053532049414,-0.29493237100012937,0.1056728658353107,34.379130055280065,-58.603834835358974,16.5480413085152,56.72908,-57.040588,-4.398376,-713323.25,262.587616,0.0012109999999999998,0.9550839697090263,0.1056728658353107,-2.916855856856948,0.03453241699391163,-4.91973365721806,-4.91973365721806,1.2030019817832945e-05
-0.08684587339458262,-0.9619337986359366,-0.4382224061229291,31.43354193195416,-7.513179492083704,-38.888186082415,-12.687164,-43.331696,-30.581543,-712073.3125,292.30545,0.00146,0.9658461775478695,-0.4382224061229291,-2.835647144215563,0.24767707249992132,-4.838862794574421,-4.838862794574421,1.4492296322415294e-05
-0.6370130444597821,-0.8113946806181734,-0.05872273292866999,39.266291113503925,-16.503361093492686,-1.0711478482744905,26.065231,-34.933289,-30.432312,-711678.875,322.487,0.001719,1.0315749834827268,-0.05872273292866999,-2.7647241233129476,0.43800263363360226,-4.770003149260667,-4.770003149260667,1.6982313377933125e-05
-0.39945585902184616,-0.9243545720703684,-0.18090840922059226,42.12194976029172,7.250674635890943,-18.04047206503946,2.680847,-25.936127,-45.683167,-711851.125,391.063354,0.002353,1.0069738617333992,-0.18090840922059226,-2.6283780728239785,0.9909876542524094,-4.632884814027525,-4.632884814027525,2.32870880873171e-05
-0.7284840247514145,-0.7086139263181421,0.05205517264371573,46.59279093079428,-19.18236734265308,-23.60956249110528,9.670288,-50.952759,-37.021484,-712315.4375,369.085449,0.002142,1.0162788352071654,0.05205517264371573,-2.6691805335041634,0.8051926705007835,-4.6739793788293,-4.6739793788293,2.118461721660469e-05
-0.5102284220162298,-0.9227383490590176,0.21122600968551816,-5.550338619555192,-29.576152247404426,-22.24832537574892,-0.221008,-37.584961,13.498352,-711474.875,296.8994140000001,0.001499,1.0544093623718132,0.21122600968551816,-2.8241983671517206,0.23902336721614814,-4.830194215797135,-4.830194215797135,1.4784470811433582e-05
-0.7152442829924854,-0.7270939297974655,-0.025071515555383474,12.827674470460153,-44.00380079145957,18.366476268284327,46.207001,-36.237854,7.326172,-711883.125,304.4312740000001,0.0015630000000000002,1.0199215494839573,-0.025071515555383474,-2.806041021980813,0.315014606720609,-4.810954220329849,-4.810954220329849,1.5454173358451666e-05
-0.4235920754517179,-0.9608180995842042,0.08111204615779634,30.58338580313138,-12.500512012604515,-32.45040419953906,-5.350464,-43.714905,-26.966675,-711803.25,325.199249,0.001743,1.050048411681145,0.08111204615779634,-2.7587026128900067,0.44403912686596025,-4.764561561449206,-4.764561561449206,1.719643563668455e-05
-0.4628582152721629,-0.8957273704576234,0.40151376351644497,-37.78547399794758,-31.11964416664747,-1.634414841607075,8.914078,-15.862671,43.682983,-711851.9375,344.036102,0.001911,1.008248605073104,0.40151376351644497,-2.718739312944987,0.6161467138603804,-4.723286071219463,-4.723286071219463,1.8910975360548696e-05
-0.3286367657338131,-1.0357191787069655,0.16301186351792604,6.3063678308674636,-30.773012511587392,-27.343958791786104,-0.715912,-45.728119,3.427429,-711442.125,292.21344,0.001459,1.0866077217346712,0.16301186351792604,-2.8359447081065485,0.18689894211068148,-4.842951335934176,-4.842951335934176,1.4356502934823626e-05
-0.3992549310510327,-1.040699861914991,0.24660383037486225,5.2878931794372335,-15.707036482129295,-25.501662679207502,-5.4115449999999985,-32.730103,-2.930054,-711042.9375,292.361206,0.00146,1.1146572130293897,0.24660383037486225,-2.835647144215563,0.17600873569626296,-4.843534308891446,-4.843534308891446,1.4337244485805497e-05
-0.5618768299828648,-0.9187005088455741,0.3680018856164876,-16.032055335858118,-25.86246303567825,-17.205792178833867,-0.373489,-28.062317,21.139099,-711208.5625,402.542206,0.002466,1.0769012011436843,0.3680018856164876,-2.6080069277402873,1.015072335514465,-4.614708845975898,-4.614708845975898,2.4282374567080707e-05
-0.0392850382704014,-1.143796084379996,-0.07223562632858113,22.52467685851245,-16.387262335086447,-30.34100844094482,-4.319504,-42.489807,-17.914856,-711271.1875,317.76535,0.001678,1.1444705312391918,-0.07223562632858113,-2.7752080435073183,0.3472995986083396,-4.7840311155398325,-4.7840311155398325,1.644253914485781e-05
-0.5158751209546744,-0.8345163446123521,0.4597316002232586,-29.020207672757984,-48.221830033712514,-1.122639011971445,18.728256,-32.374969,44.459167,-712086.125,333.590668,0.001818,0.9810936091144219,0.4597316002232586,-2.7404061211140514,0.5507503623646768,-4.744100422768026,-4.744100422768026,1.8026008737161934e-05
-0.8228617948596032,-0.4984816729304804,0.371295072439511,20.88149108009107,-71.9973059376631,-15.221851353653868,30.497482,-77.595383,11.735474,-713303.875,424.090576,0.002684,0.962073547961453,0.371295072439511,-2.5712174885030454,1.2937810960580727,-4.574314707503175,-4.574314707503175,2.6649268499311338e-05
-0.2695385379571691,-1.0194651154526229,0.012066364285972284,39.601218495414116,-6.2967283665842375,-38.147184208453055,-10.144043,-45.278381,-38.228943,-711511.0625,369.451813,0.002146,1.054495208651475,0.012066364285972284,-2.6683702823700677,0.7737314440587939,-4.674368825923983,-4.674368825923983,2.1165628742389744e-05
-0.1420187385796607,-0.9810192540982944,-0.4113928973301172,38.166150998296416,1.1153462107612289,-38.38313439431922,-13.720078,-39.070343,-40.621887,-711179.5,302.555908,0.001547,0.9912457308958924,-0.4113928973301172,-2.8105096863006325,0.31626439083112245,-4.814522685973857,-4.814522685973857,1.532771137848095e-05
-0.3606214042631774,-1.0403239460028633,0.390114456462825,-11.85084284034745,-40.06897019880268,-14.469088759941261,8.884644,-39.413666,24.636353,-710670.125,284.413208,0.001393,1.1010548169095462,0.390114456462825,-2.8560488835760367,0.12670271370862451,-4.863509038332836,-4.863509038332836,1.369275891367762e-05
-0.8046604334694433,-0.6752391702807214,0.2284241026519984,31.075266183662876,-49.60005167685274,-40.108250560363075,2.909851,-76.445633,-9.769958,-711816.0,363.0383,0.002086,1.0504410265562887,0.2284241026519984,-2.680685695909488,0.7278474890479001,-4.6865569695358715,-4.6865569695358715,2.0579889116035056e-05
-0.5551044602539472,-0.9236146980747704,-0.18259646341434124,49.5739006784727,2.2128517662445213,-18.858491080622265,6.15036,-33.213593,-49.755188,-710508.6875,273.281342,0.0013,1.0775922569755108,-0.18259646341434124,-2.886056647693163,0.061933499697296224,-4.892780259731264,-4.892780259731264,1.2800287973619629e-05
0.08096930263608759,-1.0319431458460957,-0.4576000103866794,43.820131675965406,24.569296886253372,-51.949309976520325,-33.209,-29.756256,-57.928711,-711535.75,321.276123,0.001709,1.0351148169300401,-0.4576000103866794,-2.767257937279263,0.4270429407425418,-4.77264808658941,-4.77264808658941,1.6879202109852246e-05
-0.2645596348251116,-1.0274920649238808,-0.3187397256017253,49.146028041866884,12.005445455129962,-34.1914226013016,-11.208466,-32.942627,-55.211792,-710817.75,380.638489,0.002252,1.0610050630700765,-0.3187397256017253,-2.6474316138206913,0.8549860348230853,-4.653634516399593,-4.653634516399593,2.2200639444284626e-05
-0.9204917964543738,-0.63213935448336,0.1612048504002306,50.02585448259284,-34.086308202186764,-17.996440077835732,21.489273,-61.140625,-32.337524,-710795.625,271.203125,0.001283,1.11664914401366,0.1612048504002306,-2.8917733436250717,0.0329379230313076,-4.899723039510965,-4.899723039510965,1.259728516172677e-05
-0.4837503256235768,-0.9868544522090236,0.4527060701507236,3.2120024924468322,-37.435421935030774,-31.71755065838851,-2.768616,-51.804718,9.080078,-710230.9375,322.409393,0.001719,1.0990432600155866,0.4527060701507236,-2.7647241233129476,0.39139194513040954,-4.77212113075813,-4.77212113075813,1.689969509953617e-05
-0.9626036477204808,-0.3772779701055365,0.3141507928961352,29.243080481077662,-78.70154360325128,-12.311273976818402,38.138565,-84.704819,7.940186,-712409.9375,354.743103,0.002009,1.0338976977108179,0.3141507928961352,-2.6970200632517507,0.6786010060404866,-4.702372004442185,-4.702372004442185,1.9843944127002028e-05
-0.26913888536317576,-1.181713089403735,0.1748310752879686,20.420770060352808,-18.441692370868637,-39.63700040204632,-12.199081,-47.792358,-15.710815,-710053.8125,310.816925,0.001618,1.2119742428297116,0.1748310752879686,-2.7910214827237465,0.3318340747749109,-4.801963648640173,-4.801963648640173,1.5777433246009772e-05
-0.46915618909814,-0.9677643452936404,-0.06865491337320323,56.95742777153307,0.8833512627102406,-51.21496685677124,-19.30336,-53.010101,-57.719604,-711566.5625,268.876556,0.001263,1.0754884275484875,-0.06865491337320323,-2.898596649444669,0.0327538610749456,-4.905254217528052,-4.905254217528052,1.2437863389921436e-05
