x,y
-1.417207792207794,0.1302759740259738
-1.3782467532467528,0.7926136363636367
-1.0275974025974044,1.415990259740262
-0.48214285714285765,1.7666396103896105
0.21915584415584277,1.9614448051948052
0.8814935064935057,2.15625
1.5048701298701275,2.2341720779220786
2.0113636363636367,2.039366883116884
2.712662337662337,1.8056006493506516
3.686688311688311,1.1822240259740262
4.115259740259738,0.6367694805194795
4.154220779220779,-0.06452922077922096
4.426948051948052,-1.2333603896103895
4.193181818181817,-2.6749188311688314
4.387987012987011,-1.8567370129870113
3.7256493506493484,-3.2593344155844157
2.7516233766233746,-4.116477272727272
2.362012987012985,-4.58400974025974
1.6217532467532472,-4.973620129870129
0.6866883116883109,-5.402191558441558
-0.5990259740259738,-5.402191558441558
-1.9237012987012996,-5.207386363636363
-3.1704545454545467,-4.856737012987013
-4.378246753246755,-4.506087662337661
-5.5860389610389625,-3.8047889610389607
-6.248376623376624,-2.947646103896105
-6.637987012987013,-1.7788149350649327
-6.949675324675326,-0.7268668831168839
-7.222402597402599,0.6757305194805205
