amplitude,center,delta,fractured,gamma,id_tracing,sigma,stderr_amplitude,stderr_center,stderr_gamma,stderr_sigma,x,x_tracing,y,y_tracing
3.387935220661058e-05,7.544318773992698,0.05,False,-1.2800621168164081,0.0,1.0812107937308446,6.972992741437148e-07,0.10604294378274053,0.3835789949015997,0.1011121157166561,"[5.457891563686297, 5.470596675078455, 5.542582373106135, 5.604912896078549, 5.656604389934307, 5.700119492380723, 5.752628813874071, 5.802434451592927, 5.835540502163406, 5.907137053552738, 5.9563370313106985, 5.986472729186742, 6.057173189364456, 6.099203289333861, 6.231805415126118, 6.282075399306336, 6.3147174240017945, 6.386292058657934, 6.44657798832856, 6.47717633263234, 6.535136263529296, 6.590262414695114, 6.65820993227814, 6.700706394365625, 6.753384152182611, 6.796132032261926, 6.856823119857454, 6.906115494528834, 6.955586589091405, 7.0081271386460005, 7.052127102965473, 7.1018019074705485, 7.142744644871174, 7.184633505154488, 7.233657773907667, 7.305615879349889, 7.356527534904113, 7.39525854217494, 7.45533655167, 7.499336855944239, 7.544620574695513, 7.57759149609162, 7.697503247866519, 7.737707514554549, 7.8578506898094105, 7.898082683801841, 7.930064290779636, 7.979617918951993, 8.08643555831249, 8.15809475048646, 8.177891391812501, 8.214014510945107, 8.27932358131999, 8.338693923276558, 8.365005454404677]",-6.875901875901874,"[5.41416225299757e-06, 5.387739580185315e-06, 4.300783533886191e-06, 5.214777405428107e-06, 6.574751289850219e-06, 6.335902209677275e-06, 6.820422793734463e-06, 6.652084214436443e-06, 6.669302696328823e-06, 5.816673067203891e-06, 6.7041355804226625e-06, 6.943531865943361e-06, 7.67825042983049e-06, 1.0334838626887457e-05, 1.0079343788558314e-05, 1.3920107604638303e-05, 9.015425940268258e-06, 1.3949806262819734e-05, 1.469980882915569e-05, 1.4276183743459999e-05, 1.5795465823225588e-05, 1.526219448399701e-05, 1.561246397014616e-05, 1.5180798823928474e-05, 1.6382436377830548e-05, 1.590600212509135e-05, 1.66355997018809e-05, 1.580957728344116e-05, 1.6348990448700042e-05, 1.4896341967449605e-05, 1.6443021353087496e-05, 1.4577282157471977e-05, 1.5487686534506737e-05, 1.616020898956024e-05, 1.628235090010691e-05, 1.6727308243319755e-05, 1.4137409991341374e-05, 1.5898460084986598e-05, 1.2120273743141323e-05, 1.3976070112419488e-05, 1.2286624507432987e-05, 1.0620773133379959e-05, 1.143940801816744e-05, 9.83638197358519e-06, 6.537208794671565e-06, 6.756432800615902e-06, 6.503239280616443e-06, 6.610438706686343e-06, 7.122091495289234e-06, 7.116530470562907e-06, 4.120195116082602e-06, 3.842901127179974e-06, 5.314402952681822e-06, 4.249060208149331e-06, 3.0123122551457117e-06]",1.3510101010101003
1.8164822291327126e-05,8.253373001431436,0.05,False,-2.8277780223414553,1.0,1.3807118151500233,2.652489029621259e-06,0.13226122140772104,2.2841180345012644,0.4640896524492603,"[6.774606195071674, 6.823430618004306, 6.877924652344592, 6.921625090070579, 6.935946946329094, 7.028381686660737, 7.071071367465309, 7.092625116138218, 7.167199944381709, 7.219409661175491, 7.261112393140879, 7.323463921172529, 7.3628175643516105, 7.4190611970601665, 7.461221985413, 7.572219190678067, 7.630674126991142, 7.679533101201598, 7.728884705865596, 7.764999028301638, 7.8283200158920305, 7.873110289735593, 7.885630401712652, 7.976068369723793, 8.077924049873573, 8.126071421498079, 8.18851378125751, 8.232553611273206, 8.28892571391487, 8.359197368292964, 8.414860631648551]",-6.4718614718614695,"[5.935527983386941e-06, 6.268813783770811e-06, 6.505032972431204e-06, 6.623175560877413e-06, 6.807754151202096e-06, 6.924622993407311e-06, 6.852774852615292e-06, 6.728465236668946e-06, 7.626560221176302e-06, 7.54366290282774e-06, 8.159124687141452e-06, 8.636652965382624e-06, 7.433334363421701e-06, 9.055106767723244e-06, 8.951465673984707e-06, 7.822226503234545e-06, 7.78660629944254e-06, 1.0829531280066e-05, 1.0173929954884138e-05, 7.864968389866585e-06, 7.657246332730504e-06, 8.078600652044802e-06, 2.9229289741962616e-06, 8.252808626591435e-06, 6.1979797847874765e-06, 8.003936039595834e-06, 6.5533986986580565e-06, 7.027660221781161e-06, 4.191633765643164e-06, 3.958759447413156e-06, 2.958243124284665e-06]",3.1403318903318898
3.91454970537386e-05,9.136066153235177,0.05,False,-2.0283561150663414,2.0,2.180746714581225,3.1224192629061628e-06,0.2956501244107542,1.4797134530682938,0.5675496798702063,"[6.007992575552287, 6.134654479444803, 6.240168951131853, 6.2904180465132695, 6.405915709294275, 6.455175942301611, 6.547979793489674, 6.67979230773986, 6.716141145682876, 6.805981704377647, 6.856457854931573, 6.950584790419868, 7.005066326769038, 7.026418384651516, 7.082204375618689, 7.157163247882428, 7.234643892698814, 7.283804042306736, 7.326015036384666, 7.405966519146979, 7.45637639847938, 7.5044904238917916, 7.547816541971702, 7.643729964149891, 7.663317970303671, 7.755715467751721, 7.786626505302721, 7.825832897236873, 7.873861016133638, 7.93644165476484, 8.002684382981961, 8.05635266211334, 8.102883567845781, 8.151845990348304, 8.199078729780776, 8.227589203070643, 8.266684746351402, 8.353236781456825, 8.376203460051576, 8.431970002896868, 8.503900819990102, 8.559894140912451, 8.650239185587475, 8.703903519642521, 8.740117596161419, 8.780451804025748, 8.900292747047764, 8.991497667950103, 9.102445073691749, 9.136229716762987, 9.187841178420456, 9.211837431856678, 9.35533532920481, 9.403624301999919, 9.454241518171134, 9.535865785437682, 9.592091077462369]",-5.836940836940838,"[5.2367944488047285e-06, 7.2925853827430656e-06, 7.951681699491573e-06, 7.388049942678472e-06, 7.321272364911102e-06, 6.757719541518362e-06, 7.139425966506205e-06, 6.065376349481291e-06, 6.17184382625988e-06, 7.4781763071668125e-06, 6.616075227556233e-06, 5.152639440533794e-06, 7.391408090569531e-06, 7.376071974601132e-06, 7.2911675606329045e-06, 8.435878706302734e-06, 8.758479673461155e-06, 9.459813658741073e-06, 8.110344950239104e-06, 1.159980709224471e-05, 1.0750571377506134e-05, 1.0735646993891579e-05, 1.4885121057281055e-05, 1.4965180959541127e-05, 1.324978733320384e-05, 1.1899314396116823e-05, 1.1790021515437581e-05, 5.116974921612653e-06, 9.707358348675041e-06, 8.789577708081863e-06, 1.165201658340123e-05, 1.0317043420813e-05, 1.304755380266742e-05, 8.784145223527281e-06, 1.2810108924037336e-05, 1.2072718444654604e-05, 7.2869377243379785e-06, 1.1040243419623562e-05, 1.316927421716544e-05, 9.482026225903585e-06, 8.915301834612519e-06, 7.976568283217412e-06, 8.084423406857161e-06, 7.930604363463938e-06, 8.440051354480222e-06, 8.385598860851383e-06, 8.220435129784136e-06, 9.363659941059745e-06, 9.81558788634449e-06, 3.4428767339915477e-06, 1.004101490343193e-05, 4.066013373084738e-06, 5.041647996873637e-06, 6.273112472696063e-06, 5.998731967897003e-06, 5.505531612480379e-06, 5.946665359564809e-06]",4.814213564213564
2.6481647709688597e-05,7.155126630009554,0.05,False,1.3749190230739357,3.0,0.9883817363759988,1.4071203837019732e-06,0.22531697164854528,1.0334174767162847,0.23458816895424492,"[6.4485148370387595, 6.592857856913558, 6.68621990300975, 6.73780793515361, 6.794469412503866, 6.81280844455072, 6.880775492113589, 6.935517939327555, 6.990453442123755, 7.0056204083578875, 7.072678507953196, 7.11890635559425, 7.164852282733193, 7.245175959731139, 7.316000460065413, 7.386898470783302, 7.426732643755861, 7.491274902512556, 7.541521722531809, 7.585667761516914, 7.630112623080086, 7.679472491569744, 7.7260091858502955, 7.792954724009656, 7.825998798497803, 7.874015132236524, 7.947585555566629, 7.972166565145945, 8.042602424358986, 8.096151611753292, 8.142036775806604, 8.18662529334637, 8.241765159213424, 8.281971770349909, 8.316481095871143, 8.394848785834734, 8.43742476101712, 8.462547121092658, 8.550965091916545, 8.62614573081396, 8.690833959768595, 8.736373535648623, 8.796010897587896, 8.837382053068362, 8.890734287257448, 8.947111861078724, 8.985874631854205]",-4.913419913419912,"[5.370831503999407e-06, 5.7365966436352434e-06, 6.106210177962886e-06, 6.183902071654201e-06, 6.819561594291328e-06, 7.406628188996088e-06, 8.552262716413784e-06, 8.079956174349166e-06, 6.802055881595172e-06, 8.87399284712098e-06, 8.211581205785563e-06, 6.600148752844291e-06, 8.854244941109933e-06, 1.1099243182001232e-05, 1.038417849356412e-05, 8.029511039001827e-06, 1.2050570947847304e-05, 1.432999394414148e-05, 1.654779168641289e-05, 1.52446608020859e-05, 1.6599873662283033e-05, 1.759482694610396e-05, 1.9377673804268153e-05, 1.3896253968579952e-05, 1.5348749180824826e-05, 1.4506650548357673e-05, 1.6052063859953673e-05, 1.4540836147519488e-05, 1.1633620280067891e-05, 1.0636871948521888e-05, 1.1658984705799162e-05, 1.1310980053185293e-05, 8.986884867727402e-06, 9.832034523155795e-06, 3.608435663589636e-06, 8.155223769543543e-06, 4.533153403524552e-06, 7.121783514589973e-06, 7.412053766008362e-06, 7.791852400136116e-06, 8.62398161159697e-06, 8.012118662787035e-06, 8.141939150071356e-06, 8.07508688360074e-06, 1.6421169200390146e-06, 2.2623460346121544e-06, 8.479990765728619e-06]",5.91089466089466
3.514201901454953e-05,8.59344073774659,0.05,False,-2.3711880686671516,4.0,1.220055553512076,2.0578145525072007e-06,0.09961593904815373,1.1006834418819038,0.18013764817841318,"[6.456139518559294, 6.524453580779504, 6.585662178419534, 6.6668693748133325, 6.732327951294362, 6.7953359761763155, 6.831162650563762, 6.884499895307325, 6.9187625266928325, 6.964483472043707, 7.030844112217178, 7.151798835805726, 7.193277392800255, 7.249462916373348, 7.304103574048445, 7.340267039762136, 7.3836617550727475, 7.484370303543577, 7.547702529433078, 7.601052838563471, 7.615925535098503, 7.690601947931151, 7.737874167905148, 7.799562969049329, 7.810539749429262, 7.872021506528047, 7.9232860833364, 7.974765486749289, 8.024410927894248, 8.100239407511644, 8.151611144900908, 8.202752581160512, 8.242478105945906, 8.300242392000078, 8.340208295617419, 8.360714141978246, 8.44951227143834, 8.500996044008073, 8.554022693735197, 8.581507527696534, 8.653673737313692, 8.674311756812482, 8.744435732741145, 8.7877826900751, 8.847133951423103, 8.895484834448139, 8.926104310542586]",-3.5281385281385265,"[6.432191904198475e-06, 6.686914505931648e-06, 6.916173689942457e-06, 7.969455262232026e-06, 7.580849977822316e-06, 6.925548166018474e-06, 9.745028889116608e-06, 9.027599814304557e-06, 7.898193905772283e-06, 1.1440511433386029e-05, 9.418717693146014e-06, 1.1374580338779584e-05, 5.524527797839071e-06, 1.228547068941359e-05, 1.4602973922066568e-05, 6.5888909738851874e-06, 1.2602649709130179e-05, 1.678634066199827e-05, 7.541581154998512e-06, 1.9369651184870224e-05, 2.147785380620393e-05, 2.1707508659305913e-05, 2.398197059129318e-05, 8.667148830740794e-06, 1.701866196290704e-05, 1.8103191585739663e-05, 2.1849617004849868e-05, 2.0173782750860878e-05, 1.474255159200879e-05, 2.0843634762753153e-05, 1.88906469762157e-05, 1.3375041426938606e-05, 1.6398878231551584e-05, 1.563969489096018e-05, 1.3387836860088667e-05, 1.593036585647333e-05, 1.297776282912347e-05, 1.2951969198807629e-05, 1.2651852420956571e-05, 8.630267025516941e-06, 1.2727058244491187e-05, 1.1206774362814521e-05, 4.276340315082678e-06, 9.584401058603601e-06, 9.379145925766206e-06, 9.32477890156743e-06, 3.7266470198976216e-06]",6.834415584415582
3.91353649280856e-05,7.728465022577369,0.05,False,-0.009801645135700348,5.0,1.5666418544439908,5.8530864268689385e-06,36578.99842869815,29266.633081998243,285.31734435970236,"[6.451052662844727, 6.51147145483096, 6.605995469413508, 6.657483333944649, 6.683743548768957, 6.752817030317327, 6.7728477225020844, 6.841062411921067, 6.895182054020049, 6.96286290604214, 7.008377518134245, 7.064667916676129, 7.11140205981008, 7.135721651454563, 7.213676594948836, 7.307244099078614, 7.35350416711022, 7.39784776466475, 7.460184349837454, 7.517518203203989, 7.563779336686409, 7.6461754885236255, 7.671164468316911, 7.760776510031591, 7.807818544787898, 7.868332526854818, 7.879101704449939, 8.002509089049704, 8.04350684046351, 8.087539430747352, 8.168663609241626, 8.19154753508025, 8.226411252971438, 8.313447209456605, 8.361349485518403, 8.408210405378613, 8.419472144153888, 8.5102414609967, 8.56596636884839, 8.61641610701184, 8.650088171194142, 8.758251691844421, 8.811551922029738, 8.835636112054482, 8.875621091931439, 9.060284806745186, 9.156448101332064, 9.181127213126896, 9.279516351975861, 9.39993585537002]",-2.3737373737373737,"[7.561294770758457e-06, 7.627253711475477e-06, 7.654818693021587e-06, 7.196497446464234e-06, 7.739447358769188e-06, 7.973935813159257e-06, 7.718461449746315e-06, 7.623783254030146e-06, 8.133765895431382e-06, 8.237900062001158e-06, 1.0235544977219874e-05, 8.475050033986675e-06, 8.641272170908067e-06, 8.570306256448316e-06, 1.0551667510600243e-05, 1.1208770369543246e-05, 9.313419709343884e-06, 9.035056119570263e-06, 1.1498501721842734e-05, 9.990350499380739e-06, 1.404806215506999e-05, 1.3531315633682708e-05, 1.4187495893813446e-05, 6.1483027460081515e-06, 8.641500071637563e-06, 1.0014734452915461e-05, 6.379454264864451e-06, 9.529960473989975e-06, 6.5519356914592205e-06, 7.936810700293763e-06, 1.144321249243823e-05, 7.574335972618406e-06, 9.077708967717991e-06, 9.911368684307492e-06, 7.747886872391436e-06, 1.0617569420133595e-05, 8.168831777645255e-06, 9.18913906958473e-06, 1.2984457523353755e-05, 1.0753416695583022e-05, 8.883685463555506e-06, 9.077092778022518e-06, 6.307934919044194e-06, 6.314010479975805e-06, 3.635048399215015e-06, 3.0508064332967457e-06, 1.011568919848331e-05, 2.963987103287745e-06, 8.139640069362014e-06, 8.840682880678782e-06]",7.6424963924963905
2.7780598044375705e-05,7.098618438715999,0.05,False,1.8313385976490772,6.0,1.499379401674879,2.057730158228583e-06,0.2610148091739135,1.6101922200178063,0.4112179124000636,"[6.806825358472618, 6.856236008122611, 6.913930401951683, 6.974926542691665, 7.024763233090471, 7.054643989017732, 7.1168906703826, 7.148426055252198, 7.218512503930526, 7.271391058222011, 7.317687503027187, 7.361350575297656, 7.412587501354979, 7.439777887816634, 7.487005366952444, 7.552577095466054, 7.610221334143196, 7.672315349758296, 7.7106812046910616, 7.7709926529206035, 7.824761150688727, 7.866510287670747, 7.92324953179083, 7.941561236394208, 8.026583183883986, 8.063995596116927, 8.101490095101326, 8.171334503557425, 8.211344933909674, 8.275979394637805, 8.323909273375824, 8.37356388967655, 8.402843969272372, 8.475500688829843, 8.52148967447842, 8.539526347119306, 8.605660417201086, 8.671962197275112, 8.712523257608579, 8.771387646210448, 8.805885409591198, 8.876031870361626, 8.921661735258192, 8.964128685545557, 9.017679314392534, 9.07661874861012, 9.104009802320682, 9.14862130785461, 9.225183392471761, 9.27003544862821, 9.30996760543683, 9.373977993750023, 9.614235850826697]",-0.4112554112554108,"[6.959905177137098e-06, 4.580104375908619e-06, 6.3376982626014994e-06, 8.410563590535317e-06, 7.550488569533087e-06, 9.74367484294011e-06, 5.16253077223695e-06, 7.822828610248149e-06, 7.897306933658437e-06, 9.011354187904617e-06, 5.840169988797691e-06, 1.0032574233364775e-05, 9.507537640181655e-06, 7.032133482428639e-06, 4.595392450909219e-06, 1.0556458373698642e-05, 1.0290602017941118e-05, 1.0162446528870742e-05, 1.2865798923569671e-05, 1.025188130230696e-05, 9.576780310010631e-06, 9.090638552924613e-06, 1.1559947212600068e-05, 1.0846347401690339e-05, 1.2499157604082237e-05, 1.2085539057033572e-05, 1.3149543874815819e-05, 1.298566998525331e-05, 1.3710045663120277e-05, 1.1409373766142055e-05, 1.33222015670762e-05, 1.1596199785213999e-05, 6.576462858767023e-06, 1.0718133060274738e-05, 8.498350784011571e-06, 6.581776904674296e-06, 2.560466498521091e-06, 6.389058536795976e-06, 6.897062728660904e-06, 5.418863708481183e-06, 6.562465185560683e-06, 7.258438464311124e-06, 1.2122538207996067e-06, 6.190431939674556e-06, 7.063244980835927e-06, 6.603452827142737e-06, 8.048949912366985e-06, 4.031838612508745e-06, 6.958601563229751e-06, 8.21764037112116e-06, 7.874721042659268e-06, 7.804734693330172e-06, 1.9848996664335772e-06]",8.508297258297254
4.1660173459668556e-05,10.983672858571683,0.05,False,-5.929828912297391,7.0,1.7565035887113645,1.941905863315779e-06,0.05725646117034259,2.3713495441973347,0.1032578206378649,"[7.95171507844039, 8.136686961899203, 8.170194442283243, 8.202717959327197, 8.295934083912075, 8.3873302526965, 8.403259418278981, 8.501637724538234, 8.50569184764673, 8.585322485735526, 8.64038874477026, 8.698744102185316, 8.750615706801494, 8.799922207289637, 8.84952878734208, 8.893054627323448, 8.936839999444244, 8.998338745235442, 9.044808648544784, 9.096391201670635, 9.122399195111576, 9.196292866916293, 9.250891054472056, 9.298028508758193, 9.33067225753258, 9.44799637391077, 9.484624385210237, 9.547383510714068, 9.600684282354488, 9.643865220661269, 9.701108478189365, 9.75168746561661, 9.786388140620199, 9.839922623004666, 9.884948952342272, 9.949889775377887, 9.999460146925955, 10.041845168295861, 10.06405196649891, 10.151484749940375, 10.200666547272476, 10.23952126156933, 10.295210430199617, 10.350823067793604, 10.400366180000688, 10.438651477127744, 10.482932549415308, 10.537680021349018, 10.597741861265472, 10.646012376939622, 10.695110752606634, 10.7501479901415, 10.788784782869081, 10.822980594550879, 10.89890428894692, 10.94452898243947, 10.96725714913789]",1.3780663780663789,"[1.8173322908285384e-06, 5.302862641731914e-06, 5.832378026042806e-06, 3.697757268416724e-06, 1.894536042061212e-06, 5.60320074149132e-06, 7.646809376991672e-06, 9.429873190636188e-06, 3.6582635745575344e-06, 8.694668931482436e-06, 1.1671961723893699e-05, 3.717434134476986e-06, 1.1615732643900012e-05, 1.30817472695395e-05, 1.1740657407217754e-05, 1.1950883326965419e-05, 1.1191389324204458e-05, 9.581258066808132e-06, 1.2577411350000403e-05, 1.2280012890367526e-05, 1.1109499078787227e-05, 1.0894496001010925e-05, 9.611904672666522e-06, 1.1129562628642275e-05, 1.1565068265932297e-05, 1.1572611129318368e-05, 1.0856143476867596e-05, 1.1590288875491306e-05, 1.2091126257922747e-05, 1.097010636264466e-05, 1.3917881522801555e-05, 1.1182445146955869e-05, 1.1353222376861298e-05, 1.4949707272861221e-05, 1.59323088700468e-05, 1.4200338705747246e-05, 1.819915104597805e-05, 1.7587612585348437e-05, 1.9837563531469735e-05, 2.1607561893990187e-05, 1.7162532977479468e-05, 1.9785686291186245e-05, 1.5271095773528983e-05, 2.0045292610335e-05, 1.966263917443893e-05, 1.4531827191678991e-05, 1.731693668226114e-05, 1.573689823956934e-05, 1.596418498098997e-05, 1.5467423434103223e-05, 1.577413549832762e-05, 1.6033309500274246e-05, 1.0838676485822831e-05, 1.5158065441184694e-05, 1.565788500097435e-05, 1.074780364887287e-05, 6.361660846472004e-06]",9.778138528138529
3.933605443691793e-05,10.107006366637131,0.05,False,13.099571563005087,8.0,1.1038193277504433,2.392407847198957e-06,0.012739024539038923,3.4825470925493813,0.09380114449072446,"[9.746384207132563, 9.985573320081889, 10.040677500863344, 10.077661676749933, 10.141105544310134, 10.154201877093907, 10.239510793614434, 10.29499855688105, 10.337391052112634, 10.375656091505105, 10.426668869551845, 10.482973260784872, 10.544619963877771, 10.594626467029194, 10.643649144841195, 10.695643726023095, 10.7394051224135, 10.788229088283027, 10.842033040431517, 10.882867520352145, 10.928944899587114, 10.99380450280259, 11.038843294644725, 11.089659694522506, 11.140044845816, 11.191481980792853, 11.233744974558046, 11.282967497942668, 11.329897528018595]",2.5324675324675354,"[5.312915570128685e-06, 6.292953665209765e-06, 7.114974848347572e-06, 5.903567360833569e-06, 2.0126836972159043e-05, 2.048886966456396e-05, 2.7770277054302528e-05, 2.6761979721627864e-05, 3.0558140381000174e-05, 2.9272791189172148e-05, 2.7170032312318815e-05, 2.2767181555566548e-05, 2.3616364138022197e-05, 2.7284285816168962e-05, 2.1001055891317674e-05, 2.6032478713636776e-05, 2.8406866177757183e-05, 2.7792378675330968e-05, 1.9654055384821822e-05, 2.2832552996342668e-05, 2.2323480810295105e-05, 1.6561515137029854e-05, 2.0225608647788416e-05, 1.7142596342544708e-05, 1.7548578497406325e-05, 1.7485174767055184e-05, 1.7123552625936188e-05, 1.6389721736329367e-05, 1.822585829313777e-05]",10.23989898989899
4.251150418816405e-05,11.536087968080864,0.05,False,0.00022230492050539282,9.0,0.7657854133209907,5.643821554854038e-06,270951.2478608053,443456.7236517409,601.2279169117343,"[10.949505618741565, 10.99445285099674, 11.030713420164087, 11.098007240012246, 11.14871973991656, 11.187202634499286, 11.245128341169746, 11.29929534064339, 11.337840135034964, 11.39544557654162, 11.447056618386737, 11.495907971493223, 11.54896763822476, 11.599480287154115, 11.641181747021983, 11.692228896999584, 11.749715567126861, 11.793664347379863, 11.844441159077792, 11.894598756230257, 11.928932887549252, 11.994851131195244, 12.019830245160225]",4.6103896103896105,"[1.6286134984146862e-05, 1.7279966088721434e-05, 1.780064878428532e-05, 2.1302059532072384e-05, 1.819307451473456e-05, 1.5878053977064042e-05, 1.7601017612425685e-05, 2.5149397312730655e-05, 2.2520859581337703e-05, 2.3691085081917437e-05, 2.4903894220101546e-05, 2.371295128597242e-05, 2.0370576419064677e-05, 1.9784279089008444e-05, 2.0683867398186424e-05, 2.059462933514007e-05, 2.0111168565282583e-05, 2.0244674465059105e-05, 2.131309467052275e-05, 2.1547839278034385e-05, 1.9836625964646488e-05, 1.6561863897086774e-05, 1.9898139034351908e-05]",10.413059163059161
