halo_id,arm,y_max
11,1,6.787163949987275e-05
11,2,6.259057688332558e-05
117260,1,0.0003916583264355918
117260,2,0.00028650745944311254
167397,1,9.805365950267558e-06
167397,2,1.3979837966374307e-05
17,1,1.7552239878676124e-05
17,2,2.0700772156822817e-05
198184,1,7.093160423817641e-05
198184,2,7.684736910719947e-05
198185,1,6.882204985374631e-05
198185,2,6.346113606150734e-05
289387,1,2.4368276683616158e-05
289387,2,2.252412224997206e-05
418336,1,3.771781433513305e-05
418336,2,6.998239564064764e-05
