halo_id,arm,width
11,1,1.26731214486109
11,2,1.4367107953860085
117260,1,1.6176248096509371
117260,2,1.5166441906593437
167397,1,2.4787963415903222
167397,2,1.664203559697386
17,1,1.5611468585032824
17,2,1.5500104610001262
198184,1,2.1287003237118367
198184,2,1.7480787951754553
198185,1,1.1549914371389873
198185,2,1.2829243981044736
289387,1,1.1148430429878906
289387,2,1.873750991435316
418336,1,1.3242726437363375
418336,2,1.0759322853527253
