limit_theta,limit_r,selected_theta,selected_r,selected_x,selected_y,source
-136.3160749959112,2.574072365414335,,,,,limit
-131.20697339682147,3.179624808546041,,,,,limit
-136.3160749959112,3.6943443852079905,,,,,limit
-164.92704395081364,4.1182310954001835,,,,,limit
-178.21070810844685,4.511840183435792,,,,,limit
-187.40709098680838,4.632950672062135,,,,,limit
-203.7562161038955,4.844894027158231,,,,,limit
-223.17080218043645,5.23850311519384,,,,,limit
-234.41082569843383,5.511001714603108,,,,,limit
-250.75995081552094,5.844055558325545,,,,,limit
-271.1963572118798,6.146831779891398,,,,,limit
-288.56730264878485,6.510163245770421,,,,,limit
-304.91642776587196,6.812939467336275,,,,,limit
-331.48375608113855,7.41849191046798,,,,,limit
-345.78924055858977,7.751545754190419,,,,,limit
-357.02926407658714,8.05432197575627,,,,,limit
-371.33474855403836,8.326820575165538,,,,,limit
-386.6620533513075,8.599319174574806,,,,,limit
-395.858436229669,8.38737581947871,,,,,limit
-405.05481910803053,8.145154842226027,,,,,limit
-403.01117846839463,7.902933864973344,,,,,limit
-393.81479559003316,7.41849191046798,,,,,limit
-383.5965923918537,6.90377233380603,,,,,limit
-373.37838919367425,6.600996112240177,,,,,limit
-360.094725036041,6.025721291265057,,,,,limit
-345.78924055858977,5.601834581072863,,,,,limit
-331.48375608113855,5.208225493037254,,,,,limit
-317.1782716036873,4.9357268936279866,,,,,limit
-300.8291464866002,4.451284939122623,,,,,limit
-290.61094328842074,4.0879534732436,,,,,limit
-278.3490994506054,3.966842984617258,,,,,limit
-264.0436149731542,3.7851772516777458,,,,,limit
-246.67266953624915,3.6035115187382343,,,,,limit
-229.30172409934409,3.4824010301118933,,,,,limit
-202.73439578407755,3.2401800528592113,,,,,limit
-183.3198097075366,2.9979590756065284,,,,,limit
-177.1888877886289,2.816293342667017,,,,,limit
-156.75248139227006,2.6346276097275054,,,,,limit
-148.57791883372647,2.574072365414335,,,,,limit
,,-182.3834677062191,3.0075985621982166,-3.0049966027602,0.1250780905532007,theta1
,,-190.2794505619464,3.1475736995201644,-3.0970523183431093,0.5616824114716641,theta1
,,-186.4759979328687,3.1223369329368174,-3.1024138974270863,0.3521589581887233,theta1
,,-194.47766925799388,3.158512787710543,-3.0582146916788058,0.7896365807958324,theta1
,,-191.89726339062653,3.2331091665978824,-3.163658208285805,0.6665295374438424,theta1
,,-201.9379169196295,3.2479359406853976,-3.0127503551850348,1.2134344531652228,theta1
,,-205.66760588215539,3.2685392711502472,-2.9460065530011463,1.4157663496233035,theta1
,,-197.18742668063592,3.213134162726284,-3.0696459727073586,0.9494760396767428,theta1
,,-194.6075168622337,3.350383053837266,-3.2420855808024704,0.8449542556805255,theta1
,,-200.73539560853948,3.318403990698583,-3.103455985675957,1.1748897780031773,theta1
,,-215.3164507562667,3.380883151275978,-2.758704776496012,1.954461265597217,theta1
,,-217.0069621144526,3.3769230509973385,-2.696683696904856,2.032610718067956,theta1
,,-184.34136327109277,3.2778440902692374,-3.268439118536436,0.2481282098708851,theta1
,,-210.60331165781804,3.415049139312396,-2.9393758351362647,1.738571345598254,theta1
,,-198.5281675662256,3.3742829884728502,-3.1993856285266205,1.0722487054198715,theta1
