theta,r,brazo
2.9765064567201995,5.938307954904617,1
2.8461946917128507,5.630928525433953,1
2.6054057019111827,6.100032540725866,1
2.8458654874603355,5.9190412167423725,1
2.9227331071578004,5.665546415242021,1
2.8318334161434677,6.0060714686126735,1
2.867311090200087,5.662829475369794,1
2.827364222738699,5.944560629375428,1
2.938405665618323,5.925652737519792,1
2.8729890619978136,5.648796593919074,1
2.9331042769705347,5.35753177651571,1
2.85543138066329,5.855626011943799,1
2.8371894885336384,5.627432737479608,1
2.9815225750439875,5.439003595509159,1
2.86941254614363,5.5105558445850615,1
2.832463344761044,5.859554888377156,1
2.9611344942745665,5.381785698438736,1
2.973383793450243,5.839064187351294,1
2.8322502655106634,5.780510101901338,1
2.955747012138327,5.492991842286886,1
2.8515089054620906,5.614418188570352,1
2.826800972395674,5.9636143502019054,1
2.9070270011077852,5.537760443740048,1
3.070294349194258,5.788599421919224,1
2.86112313926103,5.803841651701604,1
2.8091536644353194,5.945906154057343,1
2.88059090984827,6.146031451836471,1
2.821527955788226,5.883078004972786,1
2.966089460602937,5.98295417112665,1
2.9300042653218448,5.423945819801272,1
2.8593946373695682,6.000090160441776,1
2.8176128592679257,5.741640047145393,1
2.852019289755512,5.511671048608204,1
2.812478366471593,5.699463472837123,1
2.8938390911193927,5.700459624950182,1
2.906709840461698,5.6494012409015895,1
2.8033925069961176,5.850698054223916,1
2.950057104718412,6.0333084848950085,1
2.838263255638191,5.7615496778404,1
2.8261489750978677,5.590851239143679,1
2.9470257644885267,6.078820727004396,1
2.942181639455914,5.963784724364001,1
2.8140621050827006,5.6905514681259755,1
2.840399316165539,5.878629684660389,1
2.938446669161173,5.619839316049568,1
2.8699575179926193,6.07987445170077,1
2.8113293781223048,5.872042333368441,1
2.8077381874864082,5.604989874539363,1
2.788153170718619,5.82317766507352,1
2.814778541089851,5.571121082064807,1
2.932542750032314,5.864864819639182,1
2.9191976315254062,6.034879840457521,1
2.8983542411379326,5.98994716234871,1
2.8213336779796316,5.842537150332116,1
2.9090742515796992,5.790419239456613,1
2.799702482207553,6.039922467111871,1
2.803037299847318,5.698437269093246,1
3.113074198181307,5.672097379906911,1
2.834350574738231,5.568777836971742,1
2.887873514581124,5.651372329496827,1
2.7803789701341937,5.928250018290922,1
2.8425744327857085,5.629260300507664,1
2.8170739305793675,6.128702104791953,1
2.8012128387318325,5.919459913105667,1
2.952789374338177,5.777177970658173,1
2.917644988655956,6.165063890029608,1
2.872718088807356,5.670910487077004,1
2.786402153860744,6.1606671611782895,1
2.805647288965057,6.109877041995565,1
2.792758477456868,5.915571550769795,1
2.870682642823096,5.699963021946881,1
2.813180453053329,5.716438560687588,1
2.800214394158078,5.978185172050436,1
2.8406735539904138,5.869787432694399,1
2.9063169679760916,5.923662056961712,1
2.7723586000895457,6.015521910277679,1
2.816422020302262,5.656169797814889,1
2.7838629390454805,5.627734449456128,1
2.7764952574160424,5.944587881476043,1
2.9512663639904964,5.678681835632853,1
2.9504501472932154,5.990020045934649,1
2.7590535378207695,5.646859644166453,1
2.756780030000917,6.113990671367987,1
2.7850663752710147,5.726496000819237,1
2.8004248539577894,5.845089602444897,1
2.852414250253381,5.671497289874712,1
2.778254464339021,5.756250898186145,1
2.7542739841461863,5.764919030234815,1
2.898863916161298,6.209553811362807,1
2.7585689466574697,5.887972410769045,1
2.8381446061785227,5.775909025499528,1
3.032531803504432,5.9587539034154355,1
2.781943197840127,6.109283708405248,1
2.796302052833128,6.089352260872453,1
2.769376837497639,6.254576472651418,1
2.7450050837080697,6.1600875783024485,1
2.7720684666438418,5.938464731165162,1
2.779047556187427,5.769563252927865,1
2.8344072619672924,6.165457523701635,1
2.9191668639849273,5.755725820821055,1
2.84445084072918,6.088757106850374,1
2.7601867555070565,5.799185975328126,1
2.800767205195057,5.725194897863267,1
2.885012528357782,5.796315887273048,1
2.8448890482604394,5.821931409846317,1
2.82353654004128,5.89718748040034,1
2.835863216082245,5.974557540802669,1
2.828936234529472,6.080048852867304,1
3.00499790348511,5.993109465047637,1
2.770457418158264,5.901634552809452,1
2.8011957838593076,6.085302011709532,1
2.763261164391115,5.810275635377175,1
2.844161812011248,6.142595447314868,1
2.7975790133411165,6.248739210212744,1
2.8566918483578303,6.110819283413043,1
2.762741946594263,6.012323812784863,1
2.779239003625367,5.840835020876289,1
2.835019470293016,6.146138424476531,1
2.8162734221858368,5.960558520217145,1
2.558336818693825,6.239863922455108,1
2.9210651483235055,6.052365370905562,1
2.8102292586249513,5.792267886861074,1
2.8537716879503727,5.950401291710991,1
2.8390502729588483,5.948527205545083,1
2.765018997009099,5.940548643513185,1
2.681636316547582,5.995069265934317,1
2.7307143825749054,5.8342379420363715,1
2.5756374364230736,6.261753041988085,1
3.010388473451233,5.886551888444602,1
2.7882493685323024,5.956245269896281,1
2.767492335204788,6.084262553805748,1
2.736883160014027,5.851578960325548,1
2.5837978737692437,6.162623163515305,1
2.742369020357373,5.941905869434338,1
2.711545054143454,6.06798398090365,1
2.8685065564023833,6.081419312939435,1
2.7744715610393493,6.032614021738132,1
2.7142224347242805,5.889274823556302,1
2.727369950307649,6.056929738341966,1
2.612317449828163,6.203467010480705,1
2.792867897334869,5.894831218173177,1
2.7588454415737216,6.254039392170461,1
2.730737265809909,5.923410493546761,1
2.737592727071684,5.985767623170534,1
3.1025184409360183,5.752906049284847,1
2.775772552825966,5.952012850233042,1
2.788163685844366,6.235568340906401,1
2.9739269239458093,6.165546826582331,1
3.0065186069432315,6.037385401571631,1
2.7374291509522197,5.872235469235938,1
2.7681090611956676,5.928960000007618,1
2.5610481430227447,6.425560121572777,1
3.053056529834018,5.884141835471483,1
2.7632932011724005,5.878486069925257,1
2.7060253127600045,5.9907167200247,1
2.743654173106824,5.972466728699616,1
2.823706591441589,6.031671929686255,1
2.694157881844289,6.155972847470336,1
2.708561319971425,6.2118649739721485,1
2.7571818637449743,6.016571518550694,1
2.683200596793777,5.932842701009654,1
2.7197106308030157,6.3147579715327655,1
2.7351393870244465,6.04362354336118,1
2.7310853488614626,6.152360119109754,1
2.7128867355093305,5.8562771844241945,1
2.878416550992887,6.0654860395516055,1
2.661220417874101,6.196590162491472,1
3.085132235401353,5.84704189877311,1
2.6242915448575332,6.290152468654621,1
2.887716999704215,6.28219165286236,1
3.0704930254100136,5.885530174667695,1
2.802119462863109,5.984584110915183,1
2.627498425558804,6.1678455522648195,1
2.750666097594368,6.373187542263261,1
2.688271217076342,6.237646075518996,1
2.643527484179597,6.1501556723243604,1
2.638118666862654,6.320503965002113,1
2.979495202334621,6.084342267806481,1
3.05944678146278,5.95421805876339,1
2.6212925895893,6.305879246538423,1
2.613647772690588,6.02448143604159,1
2.7209226128517314,6.011759290467428,1
2.604261076365456,6.3806601012414985,1
2.7100360471564797,6.084020148487418,1
2.667516634642169,6.137543621104869,1
3.037481672614927,5.9651108648766415,1
2.741633501503622,6.074690074549556,1
2.6895081204753377,6.051718458211929,1
2.6393431516697543,6.144252847830185,1
2.952031797963012,6.202919465762695,1
2.667646123224421,6.275758257821073,1
2.744776841205376,6.262834267408495,1
2.7029261860951848,6.238219065546039,1
2.694295045417936,6.324561908854637,1
2.7288311829755667,6.1981405354752335,1
2.8044083912413305,6.057713536240841,1
2.5321541402979313,6.401523499228601,1
2.7678483700187186,6.029153291934938,1
2.7165639214374493,6.275108790361899,1
2.681377945282049,6.3454450708609915,1
2.627556299114191,6.294079613853408,1
2.6041173096049066,6.169474548542962,1
2.6869351783108684,6.127236221012494,1
2.6736228603194867,6.3577426943806135,1
2.785991460680917,6.088287724213079,1
2.731114947506313,6.022225046233132,1
2.778394479527783,6.022939868507149,1
2.8977289422425585,6.152243778681816,1
2.6491819249866793,6.011047585456765,1
2.7394158294147637,6.0326264314624165,1
2.8128622420711404,6.309296136402928,1
2.7729727913309463,5.995408299082539,1
2.7212327225208757,6.051026669889288,1
2.6568837571606836,6.452914018964186,1
2.6665787280791826,6.0369175118885625,1
2.6897285462367204,5.906626620765555,1
2.650883673333732,6.307096017455797,1
2.6663909203719753,6.16680343141126,1
2.7129452114400854,5.949280965767666,1
2.750931306164839,6.084142800284552,1
2.705323039615021,6.067018301463237,1
2.6623740930975295,6.2561543247537825,1
2.6957053957730155,6.007891635689547,1
2.998793980798969,6.112087696990442,1
2.7557506512562675,6.123995511373594,1
2.6463522986574475,6.104314138512603,1
2.5501867273340184,6.573313202294172,1
2.757433580472863,6.2134244768441,1
2.7108270666948115,6.317324445485588,1
2.705951772995664,6.144553087076912,1
2.684243080595248,6.13075177209896,1
2.6408493442395997,6.267987037317034,1
2.8748156124841673,6.209371155837094,1
2.732289096884465,6.367583138313652,1
2.5740169210502732,6.434735192229988,1
2.661806681055757,6.17012873708464,1
2.586915797968627,6.48987738673724,1
2.6961360952888684,6.396506589986028,1
2.802922718338968,6.106026480133407,1
2.6849473600093954,6.267036896572174,1
2.633071071833573,6.428446099614949,1
2.675298284044484,5.959301311647205,1
2.7167433592818515,6.0506847551859515,1
2.599704404221197,6.3790036831122,1
2.5230663928231776,6.543602114626761,1
2.9518640486826144,6.179552649378402,1
2.7290503416940295,6.177110258347112,1
2.548015536994031,6.450059383990826,1
2.492764917712477,6.637696241822414,1
2.6611370413335576,6.354863747255802,1
2.72517489391566,6.527003833729699,1
3.089860760946767,5.8845355327176465,1
2.5831786243006185,6.16490278442449,1
2.7531561409295193,6.132308742972361,1
2.573703450719777,6.252321295199242,1
2.487485823123997,6.615353952763247,1
2.933037911588669,6.282982163272797,1
2.6878315442650633,6.052905306888678,1
2.522922786878902,6.564807422585648,1
2.618632728541466,6.393251463239524,1
2.8898176577175914,6.2713535132002685,1
2.940632763561538,6.2465455349138965,1
3.022624515098551,6.070111596689982,1
2.553413271647486,6.566332082151775,1
2.773189178446496,6.144495738154854,1
2.9786061659876806,6.234961052532678,1
2.6693460565125617,6.539524864176627,1
2.5260417660790697,6.650764583320585,1
2.5243010854044363,6.413388362066238,1
2.813878539603787,6.268404272722546,1
2.5789290293241875,6.483763370697625,1
2.61041599671329,6.336928302301411,1
2.632581317923054,6.24294059761787,1
2.502105847868643,6.639659062924259,1
2.6874618665952386,6.200762276720763,1
2.736516215556273,6.204095278037685,1
2.7523492837908328,6.379221301112642,1
2.469542414961629,6.43921355630021,1
2.5507155115547757,6.373316209164376,1
2.676044283139844,6.437328240839652,1
2.7382724574204773,6.512737572960782,1
2.4543928673870647,6.428568159279245,1
2.4247718572287558,6.5131784868179885,1
2.9106429011939507,6.29699022454032,1
2.6587279013164227,6.044834290451758,1
2.95215213367343,6.182513993987731,1
2.590770190341048,6.558897600302056,1
2.7152311012228507,6.209408558916846,1
2.8798693673338707,6.300668661905245,1
2.4768962128298457,6.448422048825639,1
2.5319398840952942,6.616552647011237,1
2.5204451154345633,6.546440869661121,1
2.486829104976868,6.497013754662492,1
2.4256424200589617,6.511433784996923,1
2.400924714006842,6.456793142244433,1
2.6013512287464358,6.501581562097289,1
2.595912927522871,6.288789583929645,1
2.6238379404676553,6.098668657456755,1
2.6300424629700783,6.513455339095231,1
2.4747523062974093,6.596773728173024,1
2.497325059281545,6.601453713485994,1
2.647077929777762,6.456201752064942,1
2.6882728323790075,6.136237121981699,1
2.703932896606098,6.269704483298037,1
2.6412227117344247,6.103281159886914,1
2.8320899066778202,6.3183889406203155,1
2.6603944380470734,6.63444547734834,1
2.425774169335759,6.437190295630877,1
3.083706363177901,6.063115096511257,1
2.5015252145570486,6.527425128471766,1
2.719887948823653,6.408860344766781,1
2.646718951971587,6.258421687800761,1
2.5609890765989443,6.248477363024062,1
2.4468055658966197,6.485570918926776,1
2.7073588634334893,6.263103808212751,1
2.6882831619886303,6.5165616951969945,1
2.7589067010034607,6.5537513936919405,1
2.708416238379421,6.547913240613743,1
2.629319480497551,6.676394042295504,1
2.624868519953093,6.3543294760924525,1
2.713514213616322,6.606667117426246,1
2.701204159673,6.22983474757096,1
2.6570701863245536,6.374751950879509,1
2.4728870716539486,6.472600840226474,1
2.404046442455463,6.537831001523666,1
2.489979492511618,6.52307394127568,1
2.480339189949824,6.469361938118757,1
2.6711349757345255,6.125060864925814,1
2.5637588806038996,6.402678334632042,1
2.7135617051252003,6.265550162492759,1
2.571471756443952,6.320656831312187,1
2.441103017140746,6.473430538569072,1
2.440551762818078,6.501122032868839,1
2.542192582852869,6.374375205451915,1
3.11609369831091,6.124138643030642,1
2.4704986606068666,6.576710860767854,1
2.5957809020806533,6.455675274176276,1
2.6858406650118947,6.643547742474244,1
2.411272226383152,6.5270224161199355,1
2.5571585778711063,6.321034591958217,1
2.46659298655358,6.506993971661658,1
2.6542085398135997,6.726141442169385,1
2.4102168501736663,6.486342374440181,1
2.3698606235956268,6.570406287659946,1
2.3425408920146746,6.680775203114985,1
2.9829396339401084,6.253382058309102,1
3.1353481642179855,5.886787737119551,1
2.579895441900024,6.512944103340821,1
2.6825959869891105,6.321234280636331,1
2.4413348242128126,6.579762830413596,1
2.7323072808246813,6.283995682125314,1
2.4282301696484727,6.508274177111323,1
2.4287742829164896,6.575452489334299,1
2.5306079296716177,6.415392895281704,1
2.595356309858426,6.641629671975801,1
2.6871868897310165,6.285262616231654,1
3.0918184842237735,6.205181946557986,1
3.0687496711605533,6.2291942419775195,1
2.737905837926048,6.28934724271353,1
2.6613640613596066,6.534116666535889,1
3.137929969879883,6.156461276042746,1
3.1209492510363956,6.264731089301027,1
2.599440677113365,6.3185877569381566,1
2.6469932393193196,6.165001167927031,1
2.550678409995378,6.544465468511966,1
2.562472797110783,6.6547255259970655,1
2.3651419017582582,6.662876708428184,1
2.701278402186698,6.402729329709246,1
2.618729657489193,6.610813966186068,1
2.5414395038789186,6.519490651533377,1
2.7244887855255175,6.377167976351578,1
2.506170783424811,6.421799334476195,1
2.4433808392691008,6.619280279264056,1
2.5748818609582798,6.302520672618943,1
3.1162941463745732,5.963154120632412,1
3.0137595979636362,6.272229040461525,1
2.4480577704367437,6.530477961702738,1
2.6714315783323723,6.302828799860845,1
2.685555357527817,6.6457906922543195,1
2.3644718389977557,6.744986412710156,1
2.5732982079222038,6.534111313437268,1
2.632900887068177,6.76487307313824,1
2.400877611883713,6.612709243668957,1
2.4447857670713478,6.624288286244526,1
2.4013725442226277,6.66670354855618,1
2.4562418355604385,6.507367990037541,1
2.674365642026807,6.57109426522751,1
2.3832088441929495,6.66222781076835,1
2.9594754755138597,6.362886460349561,1
3.113125454097014,6.329940242057129,1
2.629432209624578,6.528664531605587,1
2.5117778304381853,6.49302097593924,1
2.3505944203559137,6.747866589024425,1
2.64093417826913,6.4254313293436685,1
2.3638174390934736,6.663057246895613,1
2.5904395231142177,6.559400405236677,1
2.617829577873608,6.238012987343359,1
2.6785014394155886,6.408272007754517,1
2.710295956540438,6.344752197424592,1
2.5463566954187784,6.4298033523590465,1
2.669947936085953,6.364404896031285,1
3.0955186245690993,6.294511687075689,1
2.6138006724149903,6.416521526994572,1
2.4038488475003956,6.564060381042228,1
2.3741825784359945,6.6290389823035865,1
2.521994475488549,6.515510223187551,1
2.4192446424254537,6.615560382061021,1
2.4167376560462324,6.599889316382125,1
2.464740275954705,6.5009324647062305,1
2.5461861901087537,6.445495268207542,1
2.374112156945665,6.675559521286575,1
2.691934460952202,6.36921376265264,1
2.6131101066010967,6.7380496265544565,1
2.413712949567455,6.6405052916850895,1
2.57340358087048,6.467550835581787,1
2.608537213624852,6.275931796807995,1
2.588537102855052,6.486631119700127,1
2.705814260250807,6.389622818436155,1
2.6356529511227844,6.275590818459381,1
2.397261889557505,6.638572865673398,1
2.749041942039595,6.595517757951456,1
2.6614638776286417,6.73329835376081,1
2.4212172745980918,6.738482473137482,1
3.0917313928074686,6.35475608716907,1
2.3790671174053224,6.792990226902734,1
2.635759991770864,6.3602273332311405,1
2.3586370968099226,6.621047433000428,1
2.4598608710204717,6.6288644051805035,1
2.6589740614752047,6.569620339342743,1
2.2807024881679565,6.733192964370617,1
2.400169465950585,6.66981689277582,1
2.353325567212593,6.8183810402812535,1
2.380182637567378,6.629110290155449,1
2.373229081030651,6.693287879270058,1
2.329707495755838,6.733593314258864,1
2.529905345083029,6.609937743556199,1
2.650661084330532,6.373238399862386,1
2.329328135985118,6.815931736504479,1
2.3524148810204735,6.718584977706586,1
3.0783658177656084,6.369250662685555,1
2.3032026787206914,6.802043664481125,1
2.3460924105605048,6.8129530479806455,1
2.5441602781383734,6.696682660853336,1
2.2625394051280527,6.769075472874466,1
2.5845268322821613,6.817732753199443,1
2.3542592114642753,6.7120901702554185,1
2.5016070661173506,6.44964280492708,1
2.636456588521602,6.75304314702365,1
3.1195711978365277,6.300063798860561,1
2.6869812468807717,6.742658359846775,1
2.334136473130227,6.774080147790782,1
2.333094963545345,6.836011299427172,1
3.111374110368319,6.233192071559449,1
2.4212336595125428,6.5940008675106,1
2.5983679583369512,6.377888626787401,1
2.3649295190428656,6.767627614536034,1
2.5259913120279225,6.434926313548125,1
2.436348703281957,6.749919441569927,1
2.3467848784500713,6.8969818085654415,1
2.384450413559224,6.707258911596636,1
2.7126201244306385,6.392709486580894,1
2.3738072662217014,6.7246718926211635,1
2.5528623417237934,6.535658337931028,1
2.3571345016681025,6.966031099407573,1
2.4320596544608786,6.754551564352384,1
2.3853276877907565,6.915541072848303,1
2.3793054247960357,6.75954907303142,1
2.752930777185656,6.638853988406008,1
2.337041891077673,6.86560947772784,1
2.619194087099773,6.764647961125904,1
2.318413852094534,6.803800442695603,1
2.2518027342722244,6.930729862648881,1
2.6042475507631107,6.7539954724960625,1
2.4102870865799058,6.860905499886402,1
2.3669415763072132,6.687606570773936,1
2.569949228145748,6.611433478743965,1
2.407090037454712,6.746494446790671,1
2.6403888456441917,6.376958442700095,1
2.322373843813502,6.966529213358191,1
2.612861187013449,6.606626563988626,1
2.3432681831613467,6.802559988282493,1
2.2999402935688433,6.884093104380022,1
2.3895815559885696,6.806969523135035,1
2.323558836700734,6.872559769333609,1
2.49504762923045,6.511305377864219,1
2.459353741687959,6.543187607170253,1
2.3297303274732912,6.87603195242454,1
2.3165538095939153,6.836069206655587,1
2.3377148180771705,6.899579555299065,1
2.4274389551885562,6.610179000722269,1
2.668779738590005,6.443972384602159,1
2.6896567241918676,6.44915042600451,1
2.684175970895701,6.681375834201269,1
2.5326619272817346,6.775504671709351,1
2.537646877889373,6.600005488504122,1
2.3409324087985746,6.963051894897975,1
2.312764855711295,6.821156528755054,1
2.6821990006912695,6.51334307945973,1
2.6608030429203837,6.497132593534956,1
2.695504136092056,6.489725751913249,1
2.557065289355114,6.7210008306931535,1
2.5015174080732816,6.816633056478342,1
2.3643049024606326,6.732130367900084,1
2.3381567999290858,6.830838544910578,1
2.5130557254755983,6.502302782688812,1
2.304148914842772,6.793757472447102,1
2.6695149050135387,6.683510113795376,1
2.366886698342391,6.911557340328633,1
2.3575116784759067,6.892172965483575,1
2.5443839838465214,6.704049051209241,1
2.3629646023931707,6.909952177283767,1
2.3070904850645166,7.038536225023179,1
2.3032261413195916,6.802866937176512,1
2.3997736876360185,6.860743564559619,1
2.5291931335839677,6.541283404531032,1
2.3363178006032177,7.0125508883663095,1
2.355727323191831,6.94776199738585,1
2.2824928500830257,7.031765065069238,1
2.1782108321864473,6.9381222260856505,1
2.6059785945373695,6.598560202726358,1
2.655973408270524,6.8359298620916515,1
2.6348202601335533,6.555925919425055,1
2.537032902294866,6.582469029439434,1
2.521641720850549,6.762003679479567,1
2.635216981162433,6.636504814466242,1
2.4589772903963745,6.82424348979737,1
2.5091372842831063,6.562407781816834,1
2.4634094721536623,6.775471784666109,1
2.244183891273325,6.8585026078850575,1
2.3926286335372633,6.853915659608086,1
3.0298958941463554,6.489688699036064,1
2.3233814123897982,6.89973111545124,1
2.489028475927723,6.533020321994141,1
2.47923173403883,6.826903330996993,1
2.5852173030673877,6.694748330137341,1
2.711634560529164,6.731654101606277,1
2.6915100741553157,6.745335158933953,1
2.6546331397056564,6.907467560765222,1
2.503018085851448,6.7425644003336185,1
2.3086173819896585,6.90661361100096,1
2.539560316627164,6.636670996606482,1
2.5852132631957887,6.732737176739362,1
2.1603598802386252,6.875883552921117,1
2.2270579795941856,6.904367231059687,1
2.3201857702253927,6.892483313749109,1
2.3733439144015263,6.948028341359579,1
2.2060843353585415,6.9256376457964395,1
2.2380774711125353,6.985352368400475,1
2.288435360346163,6.918215983287968,1
2.4681113558738548,6.679834583684351,1
2.2578512858115274,6.941671770739401,1
2.640241327200703,6.543820608438532,1
2.4020073985960058,6.997523296552163,1
2.2544363368890314,6.94986380508051,1
2.6217991537411325,6.537335045774984,1
2.4294242917318876,6.682844490228231,1
2.2811058912266837,6.82138853942509,1
2.415712479566346,6.737284206746283,1
2.504082462782246,6.844082988974085,1
2.2830198214475956,6.956709765571,1
2.278618690297567,6.836184793077541,1
2.3044190430237608,6.896469119754915,1
2.1949527936262885,6.985812145896357,1
2.274619789843303,7.123499568301028,1
2.2375952531844145,6.892174553163051,1
2.391561096774601,6.938662630778026,1
2.4814015577699795,6.985580933866847,1
2.3603332490779736,6.998931933155067,1
2.3467541003390275,7.030359117181214,1
2.298802691087855,7.008926568797091,1
2.519492025049734,6.657579362958684,1
2.239378110068176,6.901775350140186,1
2.3825119527290863,6.92856611587726,1
2.664517722820448,6.555598232381551,1
